frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.0001	4	1680.912	286.899	2991.398	1540.937	3201.397	299.743	4359.340	277.738	--undefined--	--undefined--
2	0.026	0.0001	4	1661.231	289.196	2939.864	1357.178	3213.653	324.490	4366.430	251.776	--undefined--	--undefined--
3	0.027	0.0001	4	1644.429	284.677	2874.713	1167.030	3235.567	356.560	4368.845	233.602	--undefined--	--undefined--
4	0.028	0.0001	4	1632.327	273.540	2807.470	1009.052	3266.376	384.393	4367.860	223.631	--undefined--	--undefined--
5	0.029	0.0001	4	1625.052	258.265	2745.072	897.040	3301.812	404.805	4363.213	220.546	--undefined--	--undefined--
6	0.030	0.0001	4	1621.168	242.337	2686.532	827.542	3338.809	419.185	4353.344	221.491	--undefined--	--undefined--
7	0.031	0.0001	4	1618.836	228.753	2627.116	793.442	3373.370	426.258	4336.669	221.753	--undefined--	--undefined--
8	0.032	0.0002	4	1616.995	219.234	2563.777	786.298	3399.965	425.120	4313.878	215.757	--undefined--	--undefined--
9	0.033	0.0002	4	1615.706	214.172	2498.034	796.753	3415.121	418.177	4289.107	200.919	--undefined--	--undefined--
10	0.034	0.0002	4	1615.708	212.988	2435.601	818.779	3418.994	410.733	4267.407	180.639	--undefined--	--undefined--
11	0.035	0.0002	4	1617.746	214.565	2383.210	853.409	3413.100	409.260	4251.295	161.241	--undefined--	--undefined--
12	0.036	0.0002	4	1622.090	217.582	2345.672	907.649	3397.981	419.044	4240.517	147.228	--undefined--	--undefined--
13	0.037	0.0002	4	1628.293	220.828	2324.923	990.999	3372.841	442.223	4233.731	140.250	--undefined--	--undefined--
14	0.038	0.0002	4	1635.259	223.546	2320.027	1112.545	3336.526	476.135	4229.711	140.287	--undefined--	--undefined--
15	0.039	0.0002	4	1641.788	225.507	2326.818	1278.601	3289.630	511.864	4227.789	146.710	--undefined--	--undefined--
16	0.040	0.0002	4	1647.431	226.540	2336.953	1488.102	3237.673	536.316	4227.908	158.743	--undefined--	--undefined--
17	0.041	0.0002	5	1653.024	225.945	2338.672	1722.844	3192.038	542.416	4230.398	175.514	5331.136	933.570
18	0.042	0.0002	5	1660.252	222.510	2323.339	1943.745	3163.343	537.534	4235.492	195.825	5279.140	907.965
19	0.043	0.0002	5	1670.246	215.150	2292.100	2111.051	3154.257	533.620	4242.828	218.089	5262.805	904.981
20	0.044	0.0002	5	1682.445	203.646	2254.306	2210.105	3161.102	535.694	4251.430	240.982	5271.608	923.342
21	0.045	0.0002	5	1694.996	188.988	2221.772	2255.676	3178.045	543.518	4260.240	264.330	5306.375	961.264
22	0.046	0.0002	5	1706.115	173.011	2203.947	2277.188	3199.510	556.908	4268.708	289.257	5391.642	1018.811
23	0.047	0.0002	4	1714.954	157.591	2206.746	2303.524	3221.431	577.993	4276.934	317.652	--undefined--	--undefined--
24	0.048	0.0003	4	1721.565	144.116	2234.942	2357.574	3241.575	610.947	4285.458	351.700	--undefined--	--undefined--
25	0.049	0.0003	4	1726.471	133.483	2296.606	2456.521	3259.148	661.226	4294.991	393.756	--undefined--	--undefined--
26	0.050	0.0003	4	1730.318	126.356	2409.849	2608.743	3274.295	734.815	4306.391	446.286	--undefined--	--undefined--
27	0.051	0.0004	4	1733.700	123.469	2612.634	2783.800	3288.348	836.020	4321.089	510.901	--undefined--	--undefined--
28	0.052	0.0004	4	1737.130	125.843	2927.981	2777.595	3306.662	958.404	4341.594	584.551	--undefined--	--undefined--
29	0.053	0.0004	4	1741.066	134.862	3115.265	2447.414	3345.602	1051.043	4369.123	653.271	--undefined--	--undefined--
30	0.054	0.0004	4	1745.894	152.009	3044.151	2380.631	3399.988	994.788	4396.696	699.051	--undefined--	--undefined--
31	0.055	0.0004	4	1751.866	178.134	2808.324	2543.615	3425.625	840.993	4411.584	722.675	--undefined--	--undefined--
32	0.056	0.0004	4	1758.982	212.358	2510.292	2501.527	3433.098	704.619	4403.924	736.964	--undefined--	--undefined--
33	0.057	0.0004	4	1766.828	251.339	2290.368	2311.909	3434.303	612.070	4365.645	739.680	--undefined--	--undefined--
34	0.058	0.0004	4	1774.352	290.095	2136.320	2129.379	3431.007	560.130	4299.751	701.879	--undefined--	--undefined--
