frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.017	4	1067.160	385.158	1627.950	85.645	3037.541	326.139	4285.633	228.691	--undefined--	--undefined--
2	0.026	0.017	4	1072.340	392.112	1634.052	86.321	3036.068	311.807	4278.806	226.580	--undefined--	--undefined--
3	0.027	0.017	4	1068.666	386.360	1639.020	85.212	3034.043	298.612	4273.727	228.452	--undefined--	--undefined--
4	0.028	0.017	4	1057.133	369.461	1642.599	82.869	3032.223	287.449	4269.792	235.555	--undefined--	--undefined--
5	0.029	0.017	4	1041.024	345.194	1644.687	80.336	3031.528	278.610	4266.433	249.212	--undefined--	--undefined--
6	0.030	0.017	4	1023.972	318.260	1645.279	78.698	3032.832	272.032	4263.248	271.112	--undefined--	--undefined--
7	0.031	0.017	4	1008.460	292.768	1644.361	78.811	3036.733	267.560	4260.243	303.257	--undefined--	--undefined--
8	0.032	0.017	4	995.507	271.242	1641.818	81.283	3043.310	265.061	4258.303	346.989	--undefined--	--undefined--
9	0.033	0.017	4	985.137	254.510	1637.415	86.520	3051.947	264.275	4259.807	400.640	--undefined--	--undefined--
10	0.034	0.017	4	976.975	242.165	1630.826	94.697	3061.301	264.597	4268.612	456.580	--undefined--	--undefined--
11	0.035	0.017	4	970.551	233.119	1621.714	105.648	3069.557	265.270	4287.686	501.328	--undefined--	--undefined--
12	0.036	0.017	4	965.331	226.035	1609.813	118.747	3074.966	266.013	4314.912	523.057	--undefined--	--undefined--
13	0.037	0.017	4	960.694	219.652	1595.041	132.862	3076.462	267.266	4343.592	521.536	--undefined--	--undefined--
14	0.038	0.017	4	956.090	213.064	1577.684	146.462	3073.867	269.570	4368.504	506.860	--undefined--	--undefined--
15	0.039	0.017	4	951.279	205.903	1558.604	157.994	3067.627	272.950	4388.500	489.575	--undefined--	--undefined--
16	0.040	0.017	4	946.380	198.331	1539.195	166.489	3058.578	277.002	4404.548	475.569	--undefined--	--undefined--
17	0.041	0.017	4	941.713	190.878	1520.992	171.963	3047.826	281.426	4417.765	466.828	--undefined--	--undefined--
18	0.042	0.017	4	937.599	184.200	1505.218	175.272	3036.581	286.456	4428.643	463.507	--undefined--	--undefined--
19	0.043	0.017	5	934.245	178.880	1492.585	177.614	3025.966	292.898	4436.919	465.362	5047.903	3564.665
20	0.044	0.017	5	931.725	175.313	1483.356	180.101	3016.915	301.832	4441.758	472.291	4930.032	3395.384
21	0.045	0.017	5	930.022	173.696	1477.535	183.612	3010.190	314.218	4442.152	484.044	4960.434	3347.426
22	0.046	0.017	5	929.082	174.061	1475.054	188.826	3006.441	330.471	4437.506	499.577	5148.365	3404.850
23	0.047	0.017	4	928.877	176.333	1475.922	196.330	3006.165	350.046	4428.338	516.923	--undefined--	--undefined--
24	0.048	0.017	4	929.441	180.347	1480.342	206.681	3009.512	371.198	4416.788	534.361	--undefined--	--undefined--
25	0.049	0.017	4	930.833	185.824	1488.736	220.348	3015.999	391.339	4406.391	552.337	--undefined--	--undefined--
26	0.050	0.016	4	933.032	192.336	1501.638	237.480	3024.511	408.136	4401.065	574.207	--undefined--	--undefined--
