frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.005	5	486.937	18.749	2206.775	213.348	2617.224	674.850	3556.067	235.019	4378.471	133.460
2	0.026	0.005	5	484.509	18.918	2198.190	223.644	2641.766	650.264	3551.787	230.369	4374.787	134.430
3	0.027	0.005	5	482.373	19.172	2188.624	239.229	2669.147	609.021	3550.194	233.167	4372.241	138.134
4	0.028	0.005	5	480.503	19.530	2179.679	259.778	2695.715	559.431	3550.338	242.889	4371.763	143.836
5	0.029	0.005	5	478.859	20.017	2172.945	285.419	2718.258	510.621	3551.123	258.910	4373.597	150.761
6	0.030	0.005	5	477.403	20.635	2169.572	315.868	2735.254	469.238	3551.332	281.074	4377.296	158.223
7	0.031	0.005	5	476.117	21.363	2170.100	349.094	2746.828	438.719	3549.769	309.795	4381.952	165.745
8	0.032	0.005	5	475.006	22.161	2174.333	380.295	2754.214	420.114	3545.469	345.669	4386.520	173.138
9	0.033	0.005	5	474.086	22.984	2181.145	402.521	2759.250	412.964	3537.946	388.778	4390.102	180.527
10	0.034	0.005	5	473.377	23.798	2188.582	410.170	2763.855	415.697	3527.411	437.970	4392.061	188.374
11	0.035	0.005	5	472.885	24.593	2194.667	403.097	2769.411	425.955	3514.866	490.565	4391.948	197.522
12	0.036	0.005	5	472.595	25.373	2198.405	386.582	2776.469	441.490	3502.001	542.934	4389.345	209.170
13	0.037	0.005	5	472.471	26.159	2199.977	367.202	2785.121	461.236	3490.823	591.958	4383.747	224.645
14	0.038	0.005	5	472.463	26.988	2200.178	349.435	2795.646	485.716	3482.873	636.703	4374.563	244.918
15	0.039	0.005	5	472.516	27.935	2199.859	335.020	2808.872	516.687	3478.230	679.261	4361.253	269.927
16	0.040	0.005	5	472.583	29.108	2199.667	323.721	2826.116	556.354	3474.976	724.176	4343.599	297.968
17	0.041	0.005	5	472.625	30.641	2199.994	314.200	2848.884	606.292	3469.415	776.797	4322.045	325.577
18	0.042	0.005	5	472.608	32.682	2201.029	304.838	2878.449	666.186	3456.795	841.199	4298.023	348.379
19	0.043	0.005	5	472.495	35.383	2202.845	294.589	2915.322	732.725	3432.393	917.971	4274.005	362.947
20	0.044	0.005	5	472.250	38.894	2205.436	283.583	2958.631	799.104	3393.389	1003.152	4252.904	368.877
21	0.045	0.005	5	471.839	43.359	2208.717	272.965	3005.540	854.982	3341.560	1091.719	4236.794	369.243
