frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.006	5	476.185	17.772	2198.170	92.061	2746.967	232.239	3625.448	244.769	4355.136	182.940
2	0.026	0.006	5	474.237	17.065	2198.077	88.841	2746.123	235.195	3618.925	252.278	4365.008	188.290
3	0.027	0.006	5	472.366	16.478	2199.502	88.057	2748.275	242.351	3612.213	269.380	4372.718	193.399
4	0.028	0.006	5	470.616	16.041	2202.917	89.475	2753.596	253.171	3605.021	294.926	4378.008	199.185
5	0.029	0.006	5	469.006	15.738	2208.501	92.674	2761.686	266.464	3597.045	325.170	4381.224	206.442
6	0.030	0.006	5	467.527	15.524	2215.998	97.051	2771.599	280.801	3588.132	353.877	4382.925	215.274
7	0.031	0.006	5	466.150	15.362	2224.654	101.921	2782.123	295.042	3578.475	374.521	4383.422	224.858
8	0.032	0.006	5	464.829	15.251	2233.353	106.712	2792.172	308.582	3568.618	383.499	4382.533	233.405
9	0.033	0.006	5	463.511	15.232	2240.930	111.164	2801.007	321.349	3559.168	381.597	4379.763	238.318
10	0.034	0.006	5	462.141	15.371	2246.528	115.415	2808.234	333.714	3550.479	372.567	4374.914	236.879
11	0.035	0.006	5	460.665	15.739	2249.797	119.893	2813.722	346.348	3542.646	360.678	4368.687	227.587
12	0.036	0.006	5	459.029	16.411	2250.885	125.125	2817.637	360.084	3535.757	349.416	4362.604	211.349
13	0.037	0.006	5	457.182	17.473	2250.283	131.610	2820.468	375.906	3530.014	341.553	4358.145	191.198
14	0.038	0.006	5	455.065	19.039	2248.619	139.796	2822.864	394.997	3525.572	339.453	4355.906	170.625
15	0.039	0.006	5	452.611	21.252	2246.488	150.114	2825.334	418.598	3522.372	345.058	4355.514	152.096
16	0.040	0.006	5	449.741	24.294	2244.357	163.047	2828.007	447.763	3520.174	359.797	4356.144	136.723
17	0.041	0.006	5	446.371	28.392	2242.536	179.222	2830.545	483.130	3518.681	384.641	4357.047	124.657
18	0.042	0.006	5	442.422	33.820	2241.207	199.548	2832.078	524.665	3517.644	420.145	4357.788	115.571
19	0.043	0.006	5	437.849	40.884	2240.440	225.344	2831.102	571.083	3516.988	466.390	4358.229	108.978
20	0.044	0.006	5	432.687	49.861	2240.188	258.462	2825.415	618.704	3517.067	522.941	4358.411	104.417
21	0.045	0.006	5	427.103	60.852	2240.157	301.275	2812.475	659.799	3519.005	589.219	4358.417	101.585
22	0.046	0.006	5	421.439	73.549	2239.424	356.240	2790.930	681.768	3524.725	665.533	4358.241	100.438
23	0.047	0.006	5	416.190	87.014	2235.763	423.920	2763.586	670.851	3536.102	754.208	4357.689	101.196
24	0.048	0.006	5	411.878	99.758	2225.808	497.536	2739.151	623.762	3553.551	859.771	4356.331	104.214
25	0.049	0.004	5	408.873	110.293	2209.468	558.541	2726.476	558.034	3575.611	987.991	4353.608	109.721
26	0.050	0.004	5	407.253	117.836	2194.022	589.334	2725.629	497.846	3600.520	1143.568	4349.123	117.591
27	0.051	0.004	5	406.787	122.473	2186.493	587.193	2731.190	453.065	3628.384	1325.701	4342.990	127.322
28	0.052	0.004	5	407.064	124.776	2186.821	557.949	2738.659	421.958	3661.286	1522.802	4336.007	138.334
