frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.007	5	971.525	247.118	1497.334	177.867	2692.043	199.415	4028.237	492.491	4473.603	1362.934
2	0.026	0.007	5	966.120	228.833	1507.801	178.380	2702.026	199.467	4034.158	460.348	4478.154	1426.916
3	0.027	0.007	5	959.623	208.459	1520.550	175.478	2712.578	201.755	4044.394	420.910	4472.142	1518.692
4	0.028	0.007	5	953.310	187.541	1534.080	169.653	2723.231	206.583	4056.813	379.000	4452.282	1620.335
5	0.029	0.007	5	948.142	167.949	1546.840	162.277	2733.258	214.352	4069.993	339.429	4416.190	1712.947
6	0.030	0.007	5	944.503	151.140	1557.945	154.965	2741.881	225.572	4082.952	304.716	4367.089	1786.631
7	0.031	0.007	5	942.266	137.877	1567.350	149.039	2748.603	240.787	4094.533	275.056	4315.172	1845.891
8	0.032	0.007	5	941.032	128.291	1575.552	145.349	2753.470	260.553	4103.400	249.752	4272.984	1905.752
9	0.033	0.007	5	940.357	122.064	1583.176	144.307	2757.145	285.405	4108.534	228.152	4250.260	1983.365
10	0.034	0.007	5	939.889	118.588	1590.699	145.980	2760.811	315.532	4109.599	209.587	4253.242	2092.990
11	0.035	0.007	5	939.411	117.086	1598.361	150.153	2765.955	349.859	4107.006	193.137	4287.797	2246.517
12	0.036	0.007	5	938.814	116.718	1606.188	156.352	2773.954	384.615	4101.836	177.759	4364.169	2456.142
13	0.037	0.007	5	938.014	116.685	1614.018	163.918	2785.238	412.385	4095.628	162.716	4504.342	2733.851
14	0.038	0.007	5	936.895	116.358	1621.549	172.236	2798.306	423.872	4089.935	147.964	4762.891	3083.445
15	0.039	0.008	4	935.354	115.434	1628.542	181.065	2809.991	413.547	4085.843	134.122	--undefined--	--undefined--
16	0.040	0.008	4	933.431	113.997	1635.154	190.652	2817.813	384.453	4083.785	122.070	--undefined--	--undefined--
17	0.041	0.008	4	931.355	112.366	1642.051	201.470	2821.825	346.013	4083.698	112.486	--undefined--	--undefined--
18	0.042	0.008	4	929.422	110.844	1650.049	213.903	2823.803	307.640	4085.302	105.683	--undefined--	--undefined--
