frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.006	4	1040.205	412.289	1422.988	173.551	2808.240	278.965	4075.819	214.764	--undefined--	--undefined--
2	0.026	0.006	4	1033.539	433.094	1419.193	166.770	2823.079	291.726	4070.896	236.276	--undefined--	--undefined--
3	0.027	0.006	4	1024.915	459.010	1415.373	161.538	2837.758	304.921	4068.706	266.459	--undefined--	--undefined--
4	0.028	0.006	4	1013.306	487.239	1411.608	156.912	2852.453	319.880	4070.373	306.312	--undefined--	--undefined--
5	0.029	0.006	4	998.205	512.440	1408.021	152.038	2867.498	337.627	4078.217	355.032	--undefined--	--undefined--
6	0.030	0.006	4	980.337	527.945	1404.651	146.522	2882.851	357.693	4095.628	408.162	--undefined--	--undefined--
7	0.031	0.006	5	961.885	528.800	1401.334	140.474	2897.760	377.582	4125.046	455.218	4894.308	3620.140
8	0.032	0.006	5	945.514	514.531	1397.770	134.237	2910.733	393.550	4163.407	481.312	4433.629	3114.411
9	0.033	0.006	5	932.882	489.042	1393.734	128.101	2920.070	402.955	4200.635	479.773	4270.442	2804.548
10	0.034	0.006	5	924.209	458.239	1389.268	122.320	2924.886	406.392	4228.217	460.099	4229.940	2624.597
11	0.035	0.006	5	918.967	427.751	1384.705	117.293	2925.753	407.358	4245.348	434.821	4255.076	2519.802
12	0.036	0.006	5	916.586	401.685	1380.537	113.597	2924.367	410.358	4255.277	410.004	4311.904	2462.428
13	0.037	0.006	5	916.656	382.235	1377.197	111.812	2922.748	419.438	4261.441	387.272	4380.472	2446.028
14	0.038	0.006	5	918.871	369.890	1374.910	112.351	2922.691	437.464	4266.248	367.012	4451.184	2473.055
15	0.039	0.006	5	922.967	363.898	1373.659	115.417	2925.589	465.534	4270.992	349.480	4521.401	2547.670
16	0.040	0.006	5	928.678	362.734	1373.238	121.029	2932.373	502.084	4276.141	334.708	4593.716	2674.542
17	0.041	0.006	5	935.651	364.483	1373.325	129.026	2943.137	541.749	4281.677	322.260	4676.820	2859.155
18	0.042	0.006	5	943.324	367.238	1373.516	139.035	2956.340	575.224	4287.347	311.281	4789.487	3105.360
19	0.043	0.006	5	950.924	369.632	1373.361	150.490	2968.409	592.272	4292.819	300.817	4973.913	3409.910
20	0.044	0.006	4	957.739	371.334	1372.430	162.812	2975.213	587.456	4297.847	290.193	--undefined--	--undefined--
21	0.045	0.006	4	963.496	373.038	1370.451	175.685	2974.859	563.271	4302.402	279.179	--undefined--	--undefined--
22	0.046	0.006	4	968.457	375.823	1367.436	189.151	2968.611	527.655	4306.664	267.944	--undefined--	--undefined--
23	0.047	0.006	4	973.118	380.370	1363.682	203.414	2959.230	489.453	4310.884	256.942	--undefined--	--undefined--
24	0.048	0.006	4	977.821	386.559	1359.689	218.523	2949.113	455.590	4315.206	246.825	--undefined--	--undefined--
25	0.049	0.006	4	982.515	393.533	1356.063	234.126	2939.648	430.327	4319.538	238.342	--undefined--	--undefined--
26	0.050	0.006	4	986.717	400.127	1353.403	249.416	2931.399	415.568	4323.502	232.252	--undefined--	--undefined--
27	0.051	0.006	4	989.679	405.463	1352.123	263.327	2924.503	411.271	4326.473	229.263	--undefined--	--undefined--
28	0.052	0.006	4	990.729	409.383	1352.255	274.972	2918.976	415.422	4327.689	229.945	--undefined--	--undefined--
29	0.053	0.006	4	989.607	412.405	1353.384	284.126	2914.891	423.717	4326.389	234.540	--undefined--	--undefined--
30	0.054	0.006	4	986.605	415.327	1354.831	291.432	2912.328	430.043	4321.971	242.590	--undefined--	--undefined--
31	0.055	0.006	4	982.455	418.922	1355.942	298.145	2911.088	429.066	4314.255	252.588	--undefined--	--undefined--
32	0.056	0.006	4	978.127	423.939	1356.318	305.659	2910.557	419.639	4303.872	262.010	--undefined--	--undefined--
33	0.057	0.006	4	974.582	431.124	1355.988	314.901	2910.073	405.216	4292.484	268.079	--undefined--	--undefined--
34	0.058	0.006	4	972.371	441.018	1355.481	325.592	2909.354	390.836	4282.352	269.023	--undefined--	--undefined--
35	0.059	0.006	4	971.197	453.646	1355.770	335.706	2908.475	380.147	4275.258	264.851	--undefined--	--undefined--
36	0.060	0.006	4	969.882	468.421	1357.960	341.929	2907.668	374.376	4271.724	257.006	--undefined--	--undefined--
37	0.061	0.006	4	966.988	484.174	1362.772	341.414	2907.276	372.603	4271.154	247.415	--undefined--	--undefined--
38	0.062	0.004	4	961.759	499.063	1370.208	333.684	2907.853	372.437	4272.535	237.785	--undefined--	--undefined--
39	0.063	0.004	4	954.725	510.626	1379.762	320.899	2910.218	370.752	4275.023	229.357	--undefined--	--undefined--
40	0.064	0.004	4	947.699	516.548	1390.933	306.443	2915.247	364.653	4278.245	222.976	--undefined--	--undefined--
41	0.065	0.004	4	943.318	515.911	1403.520	293.368	2923.399	352.734	4282.408	219.348	--undefined--	--undefined--
42	0.066	0.004	4	944.289	509.793	1417.585	283.613	2934.308	336.111	4288.344	219.305	--undefined--	--undefined--
43	0.067	0.004	4	952.427	500.284	1433.191	277.860	2946.937	318.316	4297.511	223.737	--undefined--	--undefined--
44	0.068	0.004	4	967.776	488.884	1450.006	275.840	2960.221	303.787	4311.782	232.804	--undefined--	--undefined--
45	0.069	0.004	4	988.365	476.389	1467.114	277.109	2973.512	295.885	4332.502	244.355	--undefined--	--undefined--
46	0.070	0.004	4	1011.173	464.149	1483.314	281.755	2986.368	295.848	4358.506	253.084	--undefined--	--undefined--
47	0.071	0.004	4	1033.471	454.458	1497.541	290.287	2998.091	303.180	4384.849	253.529	--undefined--	--undefined--
48	0.072	0.004	4	1053.447	449.894	1508.976	303.113	3007.668	316.433	4405.435	245.319	--undefined--	--undefined--
49	0.073	0.004	4	1070.219	452.383	1517.103	320.038	3014.114	333.320	4417.438	232.991	--undefined--	--undefined--
50	0.074	0.004	4	1083.443	462.565	1521.827	339.694	3016.917	350.778	4422.010	221.062	--undefined--	--undefined--
51	0.075	0.004	4	1092.721	480.007	1523.520	359.318	3016.369	365.732	4422.045	211.715	--undefined--	--undefined--
52	0.076	0.004	4	1097.120	503.944	1522.938	375.256	3013.508	376.038	4420.505	205.594	--undefined--	--undefined--
53	0.077	0.004	4	1094.912	533.898	1520.972	384.168	3009.583	380.880	4419.941	202.952	--undefined--	--undefined--
54	0.078	0.004	4	1083.549	569.661	1518.292	384.439	3005.421	380.512	4422.571	204.099	--undefined--	--undefined--
55	0.079	0.004	4	1059.819	610.243	1515.074	377.007	3001.095	375.682	4430.460	209.226	--undefined--	--undefined--
56	0.080	0.003	4	1020.253	651.226	1510.998	364.964	2996.052	367.137	4445.546	217.711	--undefined--	--undefined--
57	0.081	0.003	4	962.942	680.139	1505.478	352.146	2989.577	355.455	4469.015	227.017	--undefined--	--undefined--
