frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.00008	4	349.670	98.420	1473.588	683.335	3177.940	1036.105	4253.107	214.310	--undefined--	--undefined--
2	0.026	0.00008	4	347.981	90.435	1497.776	568.682	3139.798	1094.738	4230.899	229.969	--undefined--	--undefined--
3	0.027	0.00008	4	346.416	82.081	1509.558	462.859	3022.330	1042.646	4203.317	237.904	--undefined--	--undefined--
4	0.028	0.0001	4	345.339	74.638	1519.582	368.575	2908.940	855.358	4177.092	234.953	--undefined--	--undefined--
5	0.029	0.0001	4	344.815	68.962	1531.874	289.659	2841.095	651.639	4157.528	227.568	--undefined--	--undefined--
6	0.030	0.0001	4	344.723	65.239	1545.430	227.627	2804.572	491.628	4145.176	223.637	--undefined--	--undefined--
7	0.031	0.0001	4	344.921	63.229	1558.153	180.845	2785.050	379.070	4137.967	227.749	--undefined--	--undefined--
8	0.032	0.0001	4	345.314	62.521	1568.648	146.340	2774.887	304.008	4133.013	242.734	--undefined--	--undefined--
9	0.033	0.0003	4	345.861	62.650	1576.384	121.108	2769.976	256.155	4127.046	271.696	--undefined--	--undefined--
10	0.034	0.0003	5	346.560	63.135	1581.424	102.587	2767.801	227.346	4116.322	319.118	4792.790	2323.384
11	0.035	0.0003	5	347.437	63.560	1584.154	88.794	2766.713	211.153	4095.602	391.525	4527.255	1787.456
12	0.036	0.0003	5	348.525	63.684	1585.098	78.375	2765.918	202.245	4051.670	494.391	4392.461	1281.887
13	0.037	0.0004	5	349.846	63.507	1584.758	70.572	2765.642	196.624	3959.543	560.996	4366.601	885.723
14	0.038	0.0004	5	351.380	63.206	1583.508	65.033	2766.797	192.429	3878.471	510.420	4368.794	679.319
15	0.039	0.0004	5	353.074	63.009	1581.583	61.585	2770.236	189.780	3835.981	434.485	4359.244	561.684
16	0.040	0.0004	5	354.852	63.087	1579.128	60.084	2776.371	189.602	3817.635	368.568	4345.130	485.876
17	0.041	0.0005	5	356.643	63.490	1576.253	60.364	2785.289	192.665	3813.150	317.667	4331.532	436.082
18	0.042	0.0006	5	358.404	64.122	1573.044	62.223	2797.010	199.248	3816.571	280.311	4319.922	404.381
19	0.043	0.0006	5	360.129	64.786	1569.570	65.437	2811.754	209.157	3824.500	254.038	4309.948	385.519
20	0.044	0.0006	5	361.855	65.274	1565.876	69.798	2830.154	221.806	3835.088	236.766	4300.728	375.636
21	0.045	0.0006	5	363.645	65.442	1561.964	75.137	2853.266	236.154	3847.384	227.024	4291.508	371.739
22	0.046	0.0006	5	365.580	65.240	1557.776	81.339	2882.183	250.460	3860.845	223.649	4281.973	371.209
23	0.047	0.0006	5	367.754	64.717	1553.199	88.367	2917.150	262.282	3874.859	225.143	4272.460	371.362
24	0.048	0.0006	5	370.281	64.040	1548.135	96.366	2956.675	269.539	3888.279	229.137	4264.023	369.373
25	0.049	0.0006	5	373.300	63.492	1542.647	105.768	2997.836	272.475	3899.321	232.788	4258.020	363.062
26	0.050	0.0006	5	376.951	63.348	1537.060	117.177	3038.068	274.305	3906.420	234.210	4255.218	352.416
27	0.051	0.0007	5	381.327	63.637	1531.841	130.897	3076.677	279.109	3909.520	233.453	4255.296	340.078
28	0.052	0.0007	5	386.411	64.015	1527.311	146.369	3114.569	289.171	3910.176	232.001	4257.338	329.549
29	0.053	0.0007	5	392.065	63.905	1523.392	161.963	3152.923	304.037	3910.403	231.569	4260.589	322.853
30	0.054	0.0007	5	398.065	62.824	1519.597	175.326	3191.981	321.080	3911.687	233.209	4264.723	319.825
31	0.055	0.0009	5	404.170	60.637	1515.301	184.189	3230.486	336.764	3914.776	237.009	4269.758	318.864
32	0.056	0.0009	5	410.180	57.593	1510.138	187.212	3265.924	348.220	3919.906	242.262	4275.890	318.167
33	0.057	0.0009	5	415.964	54.152	1504.279	184.413	3295.574	354.456	3927.134	247.936	4283.286	316.899
34	0.058	0.0009	5	421.445	50.755	1498.369	176.965	3317.800	356.328	3936.610	253.223	4291.939	315.864
35	0.059	0.0009	5	426.583	47.679	1493.162	166.556	3332.721	355.412	3948.636	257.728	4301.666	317.249
