frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.005	5	468.098	9.738	1686.840	50.732	3389.467	251.382	4044.107	168.766	4496.028	108.580
2	0.026	0.005	5	468.878	9.924	1689.406	53.106	3391.542	248.247	4051.018	164.533	4499.339	124.564
3	0.027	0.005	5	469.639	10.217	1690.934	55.161	3394.222	246.275	4058.639	161.025	4500.804	144.365
4	0.028	0.005	5	470.369	10.636	1691.426	56.697	3397.658	246.176	4066.241	158.845	4499.130	167.123
5	0.029	0.005	5	471.058	11.189	1691.136	57.584	3401.995	248.864	4073.163	158.854	4492.766	190.897
6	0.030	0.005	5	471.694	11.868	1690.464	57.816	3407.215	255.145	4078.795	161.870	4480.551	212.416
7	0.031	0.005	5	472.267	12.638	1689.777	57.499	3412.964	265.328	4082.492	168.286	4462.689	227.448
8	0.032	0.005	5	472.758	13.440	1689.275	56.803	3418.523	278.880	4083.620	177.650	4441.441	232.430
9	0.033	0.005	5	473.146	14.204	1688.986	55.948	3423.027	294.281	4081.906	188.369	4420.675	226.906
10	0.034	0.005	5	473.407	14.874	1688.838	55.192	3425.817	309.245	4077.959	198.159	4404.011	214.439
11	0.035	0.005	5	473.516	15.415	1688.721	54.819	3426.660	321.453	4073.247	205.600	4393.063	200.307
12	0.036	0.005	5	473.456	15.821	1688.525	55.107	3425.704	329.472	4069.246	211.321	4387.390	188.328
13	0.037	0.005	5	473.215	16.105	1688.146	56.318	3423.394	333.326	4066.670	217.585	4385.600	180.003
14	0.038	0.005	5	472.798	16.301	1687.495	58.702	3420.518	334.413	4065.499	227.322	4386.213	175.493
15	0.039	0.005	5	472.219	16.457	1686.501	62.481	3418.296	334.946	4065.419	243.659	4387.932	174.617
16	0.040	0.005	5	471.501	16.627	1685.129	67.804	3418.308	337.195	4066.198	269.747	4389.654	177.258
17	0.041	0.005	5	470.669	16.843	1683.382	74.642	3422.181	342.720	4067.878	308.208	4390.435	183.341
18	0.042	0.005	5	469.744	17.098	1681.286	82.676	3431.037	351.833	4070.823	359.652	4389.561	192.713
19	0.043	0.005	5	468.736	17.336	1678.829	91.291	3444.804	363.714	4075.492	420.439	4386.730	205.135
20	0.044	0.005	5	467.652	17.474	1675.896	99.790	3461.908	377.553	4081.723	481.874	4382.255	220.160
21	0.045	0.005	5	466.500	17.450	1672.268	107.749	3479.921	393.930	4087.542	533.684	4377.229	236.233
22	0.046	0.005	5	465.305	17.258	1667.722	115.223	3496.719	414.927	4088.431	569.793	4373.695	249.334
23	0.047	0.005	5	464.103	16.953	1662.133	122.618	3511.031	443.232	4078.704	590.340	4374.070	253.295
24	0.048	0.005	5	462.948	16.616	1655.569	130.401	3522.322	481.312	4055.316	598.604	4379.081	243.417
25	0.049	0.005	5	461.897	16.334	1648.364	138.867	3530.662	530.650	4020.393	597.273	4386.644	220.744
26	0.050	0.005	5	461.004	16.176	1641.133	148.038	3536.839	590.976	3979.174	588.355	4393.869	191.485
27	0.051	0.005	5	460.310	16.179	1634.678	157.679	3542.661	660.034	3936.363	574.832	4399.211	162.419
28	0.052	0.005	5	459.832	16.347	1629.761	167.342	3550.902	734.666	3894.379	559.645	4402.671	137.787
29	0.053	0.005	5	459.562	16.649	1626.868	176.409	3563.688	813.024	3854.197	542.125	4405.048	119.029
30	0.054	0.005	5	459.465	17.026	1626.043	184.140	3578.809	894.366	3818.562	517.288	4407.225	105.794
31	0.055	0.005	5	459.484	17.405	1626.920	189.855	3588.599	971.620	3793.209	484.467	4409.755	96.933
32	0.056	0.005	5	459.558	17.726	1628.886	193.232	3587.157	1031.285	3780.826	450.793	4412.696	91.110
33	0.057	0.005	5	459.635	17.952	1631.314	194.547	3573.832	1067.718	3779.263	420.279	4415.651	87.103
34	0.058	0.005	5	459.680	18.078	1633.722	194.686	3550.654	1085.496	3785.084	392.165	4417.989	83.939
35	0.059	0.005	5	459.682	18.118	1635.828	194.926	3520.614	1093.213	3795.023	364.904	4419.162	80.950
36	0.060	0.005	5	459.649	18.096	1637.510	196.655	3486.361	1098.428	3806.537	338.010	4418.973	77.772
37	0.061	0.005	5	459.600	18.035	1638.743	201.208	3449.546	1105.505	3818.151	312.012	4417.702	74.346
38	0.062	0.005	5	459.562	17.964	1639.550	209.854	3411.242	1115.582	3829.404	287.935	4416.033	70.917
39	0.063	0.002	5	459.559	17.922	1640.002	223.893	3372.707	1127.540	3840.538	266.968	4414.888	68.003
40	0.064	0.002	5	459.619	17.959	1640.239	244.704	3335.530	1139.065	3852.137	250.140	4415.218	66.244
41	0.065	0.002	5	459.759	18.129	1640.472	273.570	3300.804	1147.089	3864.778	237.826	4417.838	66.164
42	0.066	0.002	5	459.990	18.460	1640.887	311.053	3268.067	1147.775	3878.704	229.309	4423.286	67.914
43	0.067	0.002	5	460.312	18.941	1641.482	355.937	3235.434	1137.196	3893.569	222.886	4431.716	71.125
44	0.068	0.002	5	460.713	19.516	1641.889	404.245	3201.293	1113.095	3908.456	216.724	4442.811	74.982
45	0.069	0.002	5	461.174	20.109	1641.386	449.581	3165.851	1076.355	3922.268	209.880	4455.779	78.551
46	0.070	0.002	5	461.681	20.654	1639.196	485.569	3130.766	1030.989	3934.266	202.603	4469.514	81.214
47	0.071	0.002	5	462.230	21.125	1634.937	508.802	3097.460	982.740	3944.329	195.806	4482.889	82.901
48	0.072	0.002	5	462.832	21.536	1628.849	519.482	3065.972	937.056	3952.813	190.389	4495.013	83.993
49	0.073	0.002	5	463.506	21.923	1621.744	519.550	3035.007	897.674	3960.241	186.918	4505.320	85.034
50	0.074	0.002	5	464.285	22.335	1614.828	510.716	3002.553	866.329	3967.044	185.665	4513.494	86.501
51	0.075	0.002	5	465.217	22.831	1609.398	494.147	2966.486	842.967	3973.434	186.783	4519.351	88.701
52	0.076	0.002	5	466.383	23.496	1606.306	471.440	2925.173	825.740	3979.385	190.509	4522.779	91.769
53	0.077	0.002	5	467.905	24.450	1605.454	445.387	2878.196	810.831	3984.684	197.312	4523.774	95.714
54	0.078	0.002	5	469.945	25.838	1605.813	419.467	2827.087	793.020	3989.009	208.079	4522.539	100.517
55	0.079	0.002	5	472.690	27.806	1606.094	396.549	2775.641	767.633	3992.017	224.404	4519.552	106.321
56	0.080	0.002	5	476.332	30.489	1605.563	378.002	2729.273	733.100	3993.476	249.020	4515.486	113.623
57	0.081	0.002	5	481.061	34.020	1604.469	363.849	2693.416	692.184	3993.381	286.342	4510.923	123.316
58	0.082	0.002	5	487.063	38.570	1603.893	353.623	2671.729	650.742	3991.996	343.144	4505.952	136.400
59	0.083	0.003	5	494.556	44.384	1605.198	347.156	2665.351	614.957	3989.829	429.564	4499.879	153.277
60	0.084	0.003	5	503.822	51.779	1609.473	344.695	2673.666	588.893	3987.593	560.668	4491.362	172.654
61	0.085	0.003	5	515.238	61.063	1617.284	346.328	2695.753	572.737	3986.007	758.065	4479.388	190.428
62	0.086	0.003	5	529.209	72.280	1628.603	351.133	2730.785	560.672	3985.712	1047.391	4465.241	201.173
63	0.087	0.003	5	545.950	84.778	1642.575	356.595	2775.286	540.232	3990.628	1442.281	4452.567	204.863
