frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.005	5	1048.374	434.404	1294.212	184.389	2636.129	249.228	3774.726	470.594	4813.105	910.396
2	0.026	0.005	5	1045.869	450.045	1294.112	172.718	2633.529	253.592	3786.413	463.313	4829.351	1011.078
3	0.027	0.005	5	1047.162	469.247	1294.294	165.374	2631.758	264.808	3793.557	474.136	4843.174	1096.124
4	0.028	0.005	5	1052.551	493.091	1295.277	162.227	2631.362	283.917	3795.442	507.483	4845.409	1154.425
5	0.029	0.005	5	1061.082	522.839	1297.615	162.223	2632.906	311.693	3791.474	564.641	4829.915	1183.911
6	0.030	0.005	5	1069.785	559.140	1302.020	163.190	2636.521	347.820	3780.132	641.717	4796.512	1184.004
7	0.031	0.005	5	1073.567	601.281	1309.331	162.241	2641.292	390.191	3758.531	726.838	4751.096	1150.610
8	0.032	0.005	5	1066.836	646.692	1319.874	156.986	2645.002	434.751	3724.270	798.235	4704.727	1082.784
9	0.033	0.005	5	1046.631	690.634	1332.633	146.814	2644.924	475.978	3680.437	830.950	4668.308	992.171
10	0.034	0.005	5	1014.920	726.834	1345.484	133.303	2639.793	508.229	3637.032	815.715	4645.618	897.918
11	0.035	0.005	5	977.942	750.631	1356.387	119.233	2631.355	528.621	3602.902	767.443	4633.695	814.168
12	0.036	0.005	5	942.916	762.815	1364.220	107.031	2623.337	539.492	3579.404	709.910	4627.471	747.526
13	0.037	0.005	5	914.726	769.752	1368.802	98.002	2618.978	546.716	3562.958	660.138	4622.346	700.463
14	0.038	0.005	5	895.116	779.855	1370.506	92.541	2619.831	555.903	3549.569	626.077	4614.874	673.680
15	0.039	0.005	5	884.112	800.092	1369.864	90.674	2625.856	570.791	3536.708	610.370	4602.859	666.948
16	0.040	0.005	5	881.800	834.169	1367.332	92.451	2635.819	593.895	3523.253	613.618	4585.411	679.293
17	0.041	0.005	5	889.235	881.308	1363.244	98.051	2648.091	627.179	3508.932	635.867	4563.238	708.965
18	0.042	0.005	5	908.027	934.579	1357.915	107.624	2661.864	670.855	3494.065	676.590	4539.203	753.444
19	0.043	0.005	5	938.410	979.801	1351.836	120.998	2677.850	719.891	3479.883	733.438	4518.749	809.563
20	0.044	0.005	5	976.283	998.262	1345.877	137.497	2697.014	760.480	3468.960	799.834	4509.525	872.791
21	0.045	0.005	5	1011.845	975.989	1341.346	155.976	2717.039	773.227	3464.085	861.757	4519.686	933.745
22	0.046	0.005	5	1033.655	914.564	1339.777	174.811	2731.532	748.538	3463.812	899.244	4553.855	973.683
23	0.047	0.005	5	1035.968	830.716	1342.277	191.492	2736.984	696.765	3460.474	901.236	4607.310	970.583
24	0.048	0.005	5	1021.332	744.573	1348.432	202.894	2736.686	635.698	3448.593	875.619	4666.641	919.226
25	0.049	0.005	5	997.235	669.782	1355.979	207.916	2736.129	577.782	3431.370	838.402	4719.369	838.984
26	0.050	0.005	5	971.224	611.941	1362.485	209.124	2739.572	528.666	3417.961	804.758	4759.602	759.903
27	0.051	0.005	5	948.206	572.575	1366.745	210.132	2749.635	489.333	3419.000	787.078	4786.354	708.118
28	0.052	0.005	5	930.250	551.601	1368.505	212.577	2766.985	458.691	3442.869	790.456	4801.131	699.984
29	0.053	0.005	5	917.248	547.159	1367.890	215.311	2790.208	436.316	3492.121	807.648	4807.274	742.600
30	0.054	0.005	5	908.033	555.700	1365.357	215.764	2817.409	423.387	3561.944	822.717	4810.047	838.414
31	0.055	0.005	5	901.656	572.816	1361.837	212.386	2847.852	421.059	3643.065	821.258	4817.377	991.658
32	0.056	0.005	5	898.104	594.059	1358.470	205.962	2881.742	429.122	3725.759	794.985	4843.297	1213.079
33	0.057	0.005	5	898.121	615.839	1356.067	198.863	2919.148	446.143	3799.908	742.514	4917.421	1516.220
34	0.058	0.005	5	902.402	636.007	1354.880	193.432	2959.150	470.235	3856.107	676.529	5115.145	1900.580
35	0.059	0.005	4	910.868	653.648	1354.799	191.029	2999.522	500.346	3892.884	619.782	--undefined--	--undefined--
36	0.060	0.005	4	922.554	668.670	1355.642	192.039	3037.175	537.576	3915.659	586.447	--undefined--	--undefined--
37	0.061	0.005	4	936.110	681.635	1357.324	196.321	3069.058	584.918	3929.574	579.270	--undefined--	--undefined--
38	0.062	0.005	4	950.371	693.381	1359.932	203.539	3092.505	645.032	3937.251	595.232	--undefined--	--undefined--
39	0.063	0.005	4	964.423	704.177	1363.712	213.103	3104.853	717.208	3939.778	627.781	--undefined--	--undefined--
40	0.064	0.005	4	977.340	713.346	1368.986	223.970	3103.501	794.246	3938.636	666.558	--undefined--	--undefined--
41	0.065	0.005	4	988.228	720.187	1375.951	234.701	3087.843	861.206	3937.508	698.193	--undefined--	--undefined--
42	0.066	0.005	4	996.614	725.356	1384.433	243.882	3061.942	901.693	3941.427	710.048	--undefined--	--undefined--
43	0.067	0.005	4	1002.633	731.112	1393.783	250.608	3033.025	909.856	3952.344	694.052	--undefined--	--undefined--
44	0.068	0.005	4	1006.868	740.171	1403.102	254.752	3006.393	892.800	3966.652	649.645	--undefined--	--undefined--
45	0.069	0.005	4	1010.145	754.271	1411.614	256.922	2983.722	861.995	3978.787	585.482	--undefined--	--undefined--
46	0.070	0.005	4	1013.355	773.231	1418.943	258.143	2964.668	826.528	3985.754	514.800	--undefined--	--undefined--
47	0.071	0.005	4	1017.138	794.464	1425.151	259.395	2948.209	792.063	3987.512	448.569	--undefined--	--undefined--
48	0.072	0.005	4	1021.144	813.076	1430.597	261.129	2933.144	762.400	3985.259	393.218	--undefined--	--undefined--
49	0.073	0.003	4	1023.024	823.333	1435.689	262.865	2918.394	740.939	3980.371	351.761	--undefined--	--undefined--
50	0.074	0.003	4	1018.486	821.708	1440.595	263.186	2903.318	730.902	3974.148	325.402	--undefined--	--undefined--
51	0.075	0.003	4	1003.974	808.348	1445.119	260.598	2887.983	734.084	3967.812	314.485	--undefined--	--undefined--
52	0.076	0.003	4	980.275	784.995	1449.032	254.862	2873.296	748.605	3962.413	318.650	--undefined--	--undefined--
53	0.077	0.003	4	952.731	754.541	1452.494	247.400	2861.102	767.530	3958.693	336.442	--undefined--	--undefined--
54	0.078	0.003	4	926.997	722.633	1455.965	240.350	2853.978	781.358	3957.108	365.001	--undefined--	--undefined--
55	0.079	0.003	4	905.439	695.495	1459.786	235.500	2854.064	783.929	3958.023	400.442	--undefined--	--undefined--
56	0.080	0.003	4	887.531	676.827	1464.053	233.987	2861.596	775.659	3961.819	438.730	--undefined--	--undefined--
57	0.081	0.003	4	871.712	667.509	1468.771	236.436	2875.011	761.342	3968.807	476.447	--undefined--	--undefined--
58	0.082	0.003	4	856.449	666.416	1474.022	243.025	2892.269	746.471	3979.030	511.235	--undefined--	--undefined--
59	0.083	0.003	4	840.480	670.802	1480.025	253.274	2911.694	735.253	3992.033	542.137	--undefined--	--undefined--
60	0.084	0.003	4	822.739	676.281	1487.035	265.601	2931.895	730.359	4006.716	570.086	--undefined--	--undefined--
61	0.085	0.003	4	802.346	677.071	1495.058	276.923	2951.226	733.598	4021.399	598.545	--undefined--	--undefined--
62	0.086	0.003	4	778.995	667.356	1503.459	283.058	2967.255	746.716	4033.979	634.086	--undefined--	--undefined--
63	0.087	0.003	5	753.755	643.950	1510.901	280.635	2976.521	771.163	4041.597	687.085	4816.254	2910.011
64	0.088	0.003	5	729.310	608.629	1516.079	269.465	2974.955	805.032	4037.897	773.477	4532.468	2338.352
65	0.089	0.003	5	708.689	567.551	1518.669	252.829	2960.479	837.805	3998.141	906.650	4429.496	1733.877
66	0.090	0.003	5	693.632	527.931	1519.445	235.301	2938.312	853.733	3895.819	963.140	4471.801	1295.043
67	0.091	0.003	5	684.127	495.046	1519.647	220.467	2919.402	848.798	3820.858	911.847	4525.143	1076.873
68	0.092	0.003	5	678.979	471.363	1520.356	210.122	2910.726	832.280	3777.108	869.480	4557.943	951.619
69	0.093	0.003	5	676.558	457.076	1522.217	204.587	2913.194	813.411	3744.720	860.255	4576.955	874.859
70	0.094	0.003	5	675.309	450.880	1525.405	203.262	2925.256	796.103	3713.506	883.602	4587.346	828.954
71	0.095	0.003	5	674.011	450.504	1529.713	204.972	2945.018	779.742	3678.949	934.083	4592.711	804.236
72	0.096	0.003	5	671.860	453.068	1534.676	208.139	2970.218	760.534	3640.551	1004.070	4595.667	795.218
73	0.097	0.003	5	668.452	455.539	1539.712	210.986	2997.164	733.501	3602.141	1083.677	4597.857	799.634
74	0.098	0.003	5	663.712	455.360	1544.285	211.921	3020.367	696.718	3571.442	1160.210	4599.834	817.509
75	0.099	0.003	5	657.794	451.048	1548.077	210.057	3034.992	655.099	3555.988	1218.918	4601.280	849.638
76	0.100	0.003	5	650.930	442.290	1551.092	205.533	3040.104	616.803	3557.754	1248.451	4601.620	895.636
77	0.101	0.003	5	643.281	429.408	1553.595	199.337	3037.802	586.973	3572.522	1245.195	4600.732	951.560
78	0.102	0.003	5	634.870	412.590	1555.927	192.737	3030.512	567.388	3592.280	1210.995	4599.402	1006.963
79	0.103	0.003	5	625.665	391.554	1558.337	186.748	3019.787	558.578	3607.755	1150.868	4599.198	1043.561
80	0.104	0.003	5	615.763	366.001	1560.924	181.941	3006.286	560.478	3612.345	1072.538	4601.813	1041.882
81	0.105	0.003	5	605.531	336.563	1563.696	178.554	2990.289	571.641	3606.021	984.602	4608.678	996.246
82	0.106	0.003	5	595.588	305.350	1566.663	176.654	2972.726	588.807	3594.147	896.273	4620.643	920.744
83	0.107	0.002	5	586.616	275.453	1569.859	176.152	2955.931	608.735	3581.653	818.354	4637.285	837.457
84	0.108	0.002	5	579.171	249.826	1573.335	176.722	2942.849	630.619	3569.576	760.183	4657.183	763.634
85	0.109	0.002	5	573.594	230.387	1577.147	177.894	2935.477	655.260	3556.608	726.529	4678.910	708.837
86	0.110	0.002	5	569.998	217.693	1581.379	179.401	2934.461	681.898	3541.989	718.247	4701.616	677.650
87	0.111	0.002	5	568.292	211.024	1586.121	181.432	2939.707	705.923	3527.335	734.597	4725.066	672.937
88	0.112	0.002	5	568.214	208.698	1591.419	184.410	2950.672	718.660	3517.365	775.162	4749.573	698.242
89	0.113	0.002	5	569.371	208.590	1597.232	188.538	2965.479	710.172	3519.794	839.268	4776.324	759.269
90	0.114	0.002	5	571.299	208.743	1603.456	193.641	2980.038	676.509	3543.737	920.090	4808.542	864.798
91	0.115	0.002	5	573.540	207.844	1609.950	199.322	2990.723	625.707	3594.548	997.995	4854.377	1027.753
92	0.116	0.002	5	575.696	205.361	1616.559	205.176	2997.805	571.008	3667.803	1045.635	4934.924	1265.638
93	0.117	0.002	5	577.478	201.352	1623.091	210.929	3003.461	521.350	3747.455	1043.254	5114.655	1592.117
94	0.118	0.002	4	578.716	196.199	1629.313	216.494	3009.091	481.078	3812.093	1000.986	--undefined--	--undefined--
95	0.119	0.002	4	579.359	190.429	1634.961	221.994	3015.121	452.404	3853.003	954.621	--undefined--	--undefined--
96	0.120	0.002	4	579.456	184.616	1639.785	227.711	3021.531	436.711	3874.736	928.303	--undefined--	--undefined--
97	0.121	0.002	4	579.116	179.298	1643.596	233.976	3028.139	435.095	3881.888	928.156	--undefined--	--undefined--
98	0.122	0.002	4	578.468	174.870	1646.318	241.015	3034.627	448.403	3875.003	953.069	--undefined--	--undefined--
99	0.123	0.001	4	577.629	171.509	1648.061	248.815	3040.509	476.424	3851.951	999.503	--undefined--	--undefined--
100	0.124	0.001	4	576.709	169.186	1649.200	257.046	3045.342	515.895	3810.656	1062.181	--undefined--	--undefined--
101	0.125	0.001	4	575.810	167.752	1650.383	265.129	3049.734	558.312	3752.016	1137.268	--undefined--	--undefined--
102	0.126	0.001	4	575.012	167.016	1652.351	272.553	3057.121	591.172	3678.305	1232.525	--undefined--	--undefined--
103	0.127	0.001	4	574.292	166.695	1655.540	279.261	3073.874	603.909	3581.870	1369.279	--undefined--	--undefined--
104	0.128	0.001	5	573.506	166.387	1659.800	285.638	3104.379	588.399	3440.774	1544.981	5271.450	1910.674
105	0.129	0.001	5	572.490	165.759	1664.653	291.955	3140.978	539.752	3266.020	1690.912	4968.804	1531.513
106	0.130	0.001	5	571.185	164.819	1669.834	297.889	3119.795	1759.102	3170.642	479.600	4864.105	1269.011
107	0.131	0.001	5	569.613	163.910	1675.468	302.614	3032.635	1780.030	3193.270	431.956	4813.772	1115.062
108	0.132	0.001	5	567.761	163.411	1681.695	305.262	3000.145	1794.140	3211.710	401.337	4786.672	1041.105
109	0.133	0.001	5	565.505	163.468	1688.189	305.227	3009.542	1815.097	3226.432	385.219	4773.927	1024.696
110	0.134	0.001	5	562.630	163.947	1694.064	302.328	3047.692	1832.055	3236.970	381.106	4773.314	1049.210
111	0.135	0.001	5	558.914	164.555	1698.249	296.926	3100.364	1820.918	3243.013	388.036	4784.551	1099.458
112	0.136	0.001	5	554.217	165.007	1700.027	289.781	3151.642	1759.534	3244.543	406.459	4806.922	1158.118
113	0.137	0.001	5	548.550	165.125	1699.324	281.658	3188.097	1641.184	3241.675	437.804	4836.883	1206.367
114	0.138	0.001	5	542.092	164.894	1696.669	272.982	3204.567	1474.953	3234.721	484.305	4867.065	1230.371
115	0.139	0.001	5	535.168	164.478	1692.943	263.740	3203.547	1272.513	3225.090	550.573	4888.838	1227.122
116	0.140	0.001	5	528.196	164.192	1689.032	253.585	3184.509	1024.479	3220.872	658.097	4896.004	1201.999
117	0.141	0.001	5	521.603	164.366	1685.494	242.039	3083.985	816.894	3292.939	728.467	4886.315	1162.400
118	0.142	0.001	5	515.728	165.165	1682.408	228.778	3020.723	752.249	3328.677	666.061	4861.516	1114.140
119	0.143	0.001	5	510.753	166.463	1679.510	213.920	2984.622	699.560	3342.119	608.810	4827.170	1061.159
120	0.144	0.001	5	506.667	167.884	1676.528	198.073	2964.085	652.727	3346.369	567.117	4791.647	1007.846
121	0.145	0.001	5	503.294	168.989	1673.425	182.067	2954.639	609.789	3346.129	543.237	4763.171	960.587
122	0.146	0.001	5	500.358	169.460	1670.398	166.620	2953.511	568.543	3343.759	536.624	4746.608	925.344
123	0.147	0.001	5	497.554	169.130	1667.720	152.164	2957.957	526.727	3340.704	544.847	4742.736	904.488
124	0.148	0.001	5	494.602	167.970	1665.643	138.882	2964.708	483.426	3337.905	563.032	4749.642	896.339
125	0.149	0.001	5	491.279	166.084	1664.372	126.835	2970.636	440.626	3335.497	583.511	4764.298	896.721
126	0.150	0.001	5	487.419	163.730	1664.048	116.059	2974.046	402.743	3332.262	597.895	4783.424	901.000
127	0.151	0.001	5	482.912	161.310	1664.715	106.591	2975.038	374.088	3326.107	600.934	4803.904	905.925
128	0.152	0.001	5	477.712	159.335	1666.284	98.461	2974.673	357.442	3315.289	592.126	4823.170	910.680
129	0.153	0.001	5	471.856	158.365	1668.517	91.685	2974.175	354.926	3298.828	573.746	4839.549	916.568
130	0.154	0.001	5	465.481	158.947	1671.054	86.264	2974.628	369.926	3276.063	547.256	4852.410	925.755
131	0.155	0.001	5	458.824	161.538	1673.493	82.177	2976.526	409.910	3246.643	509.130	4862.091	940.088
132	0.156	0.001	5	452.209	166.386	1675.493	79.369	2976.141	489.856	3214.324	446.539	4869.790	960.687
133	0.157	0.001	5	446.009	173.376	1676.872	77.732	2957.335	608.367	3195.948	360.592	4877.443	988.619
134	0.158	0.001	5	440.608	181.878	1677.648	77.086	2920.472	722.054	3193.854	291.263	4887.593	1026.800
135	0.159	0.001	5	436.360	190.763	1677.979	77.173	2883.513	814.420	3196.299	247.911	4903.462	1082.898
136	0.160	0.001	5	433.548	198.697	1678.063	77.688	2861.204	877.296	3198.532	228.195	4929.898	1171.545
137	0.161	0.001	5	432.288	204.802	1678.070	78.433	2865.488	898.048	3198.725	233.141	4975.974	1312.006
138	0.162	0.001	5	432.441	209.249	1678.154	79.488	2899.420	861.767	3196.310	268.547	5059.394	1516.911
139	0.163	0.001	5	433.574	213.099	1678.443	81.139	2951.247	751.006	3192.962	350.811	5215.379	1772.157
140	0.164	0.001	4	435.043	217.541	1678.955	83.553	2977.745	549.003	3215.136	510.346	--undefined--	--undefined--
141	0.165	0.001	4	436.133	223.421	1679.557	86.594	2948.614	405.605	3281.768	620.695	--undefined--	--undefined--
142	0.166	0.001	4	436.197	231.261	1680.023	89.923	2923.947	330.979	3330.020	688.508	--undefined--	--undefined--
143	0.167	0.001	5	434.757	241.205	1680.096	93.280	2907.498	284.405	3355.985	757.598	5254.367	2191.620
144	0.168	0.001	5	431.571	252.722	1679.507	96.688	2897.762	254.472	3359.367	830.828	5065.961	2073.805
145	0.169	0.001	5	426.715	264.481	1677.973	100.477	2893.622	237.212	3339.261	894.348	4970.659	1934.290
146	0.170	0.001	5	420.634	274.796	1675.217	105.220	2894.274	231.408	3299.053	928.438	4942.579	1811.352
147	0.171	0.001	5	414.035	282.591	1670.975	111.677	2899.400	237.123	3247.876	922.166	4970.799	1733.456
148	0.172	0.001	5	407.597	288.336	1665.009	120.779	2909.458	254.941	3195.535	881.425	5052.677	1715.789
149	0.173	0.001	5	401.666	294.247	1657.161	133.538	2926.130	284.763	3147.445	823.699	5215.977	1764.932
150	0.174	0.001	4	396.128	303.515	1647.501	150.723	2953.075	321.995	3103.551	771.735	--undefined--	--undefined--
151	0.175	0.001	4	390.488	319.022	1636.587	172.140	2993.451	344.529	3062.508	760.204	--undefined--	--undefined--
152	0.176	0.001	4	384.049	342.119	1625.667	195.778	3029.806	325.400	3043.205	819.660	--undefined--	--undefined--
153	0.177	0.0010	4	376.103	371.828	1616.414	217.720	3047.905	295.983	3060.617	910.026	--undefined--	--undefined--
154	0.178	0.0010	4	366.103	404.648	1609.997	233.726	3054.485	274.331	3104.492	990.685	--undefined--	--undefined--
155	0.179	0.0010	4	353.857	435.258	1606.257	241.559	3054.013	261.853	3158.289	1034.410	--undefined--	--undefined--
156	0.180	0.0005	4	339.717	458.270	1604.031	241.729	3048.452	257.021	3204.524	1034.865	--undefined--	--undefined--
157	0.181	0.0005	4	324.560	470.351	1602.152	236.143	3039.075	256.900	3235.272	1007.279	--undefined--	--undefined--
158	0.182	0.0005	4	309.436	471.230	1599.971	226.610	3027.287	257.948	3253.204	970.985	--undefined--	--undefined--
159	0.183	0.0005	4	295.111	462.985	1597.288	214.400	3014.655	257.399	3264.546	938.991	--undefined--	--undefined--
160	0.184	0.0005	4	281.869	448.530	1594.145	200.493	3002.512	254.444	3273.971	916.947	--undefined--	--undefined--
161	0.185	0.0004	4	269.618	430.412	1590.715	185.889	2991.525	250.592	3282.716	904.576	--undefined--	--undefined--
162	0.186	0.0004	4	258.119	410.379	1587.261	171.768	2981.474	249.244	3288.183	896.656	--undefined--	--undefined--
163	0.187	0.0004	4	247.185	389.545	1584.127	159.474	2971.129	254.946	3284.974	882.552	--undefined--	--undefined--
164	0.188	0.0004	4	236.787	368.826	1581.698	150.336	2957.965	272.422	3269.133	845.250	--undefined--	--undefined--
165	0.189	0.0004	4	227.076	349.340	1580.371	145.474	2937.509	303.561	3246.172	768.419	--undefined--	--undefined--
166	0.190	0.0003	4	218.314	332.520	1580.504	145.807	2904.991	337.387	3232.269	661.602	--undefined--	--undefined--
167	0.191	0.0003	4	210.762	319.875	1582.327	152.286	2866.891	350.372	3233.910	566.449	--undefined--	--undefined--
168	0.192	0.0003	5	204.604	312.646	1585.759	165.990	2838.681	342.196	3241.976	505.815	5178.505	1262.075
169	0.193	0.0003	5	199.918	311.618	1590.155	187.562	2826.238	328.177	3251.529	477.859	5083.337	1193.155
170	0.194	0.0003	5	196.735	317.047	1594.110	215.626	2828.051	315.955	3263.532	478.361	5042.136	1186.725
171	0.195	0.0003	5	195.254	328.255	1595.726	244.617	2840.615	304.730	3281.486	504.629	5036.257	1233.528
172	0.196	0.0002	5	196.241	342.873	1593.917	264.736	2859.536	290.307	3310.632	553.089	5060.414	1323.853
173	0.197	0.0002	5	201.123	357.148	1590.065	267.753	2879.872	271.381	3356.613	616.311	5115.865	1448.792
174	0.198	0.0002	5	210.994	368.717	1587.546	254.422	2897.800	252.763	3421.942	682.629	5220.378	1604.429
