frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.005	5	923.405	360.041	1534.027	189.696	2674.503	460.715	3993.284	591.714	5054.490	1249.412
2	0.026	0.005	5	932.079	361.548	1545.034	166.505	2677.877	441.941	3972.370	573.690	5043.648	1130.986
3	0.027	0.005	5	939.760	372.938	1551.504	148.123	2680.244	424.082	3954.533	548.095	5044.426	1047.702
4	0.028	0.005	5	944.987	392.382	1554.762	134.254	2682.146	409.531	3940.463	519.744	5051.135	995.498
5	0.029	0.005	5	946.079	417.495	1555.907	124.073	2684.081	398.660	3929.771	490.561	5060.807	969.036
6	0.030	0.005	5	941.678	445.338	1555.802	116.907	2686.484	390.638	3921.934	460.910	5071.753	963.791
7	0.031	0.005	5	931.428	472.560	1555.106	112.515	2689.632	384.107	3916.647	431.088	5082.686	976.307
8	0.032	0.005	5	916.527	496.050	1554.263	111.102	2693.409	377.832	3913.851	402.285	5092.222	1003.997
9	0.033	0.005	5	899.698	514.087	1553.502	113.138	2697.028	371.311	3913.651	376.768	5098.638	1044.898
10	0.034	0.005	5	884.400	527.177	1552.872	118.906	2699.004	365.033	3916.249	357.377	5099.797	1097.151
11	0.035	0.005	5	873.611	537.576	1552.336	127.734	2697.600	359.982	3921.959	346.789	5093.031	1157.441
12	0.036	0.005	5	868.805	547.565	1551.899	137.244	2691.600	356.542	3931.233	347.005	5075.226	1218.387
13	0.037	0.005	5	869.688	557.988	1551.696	144.021	2680.956	353.794	3944.618	359.203	5044.800	1268.319
14	0.038	0.005	5	874.852	568.611	1551.906	146.235	2666.995	350.121	3962.674	383.520	5005.693	1298.115
15	0.039	0.005	5	882.697	579.516	1552.601	145.127	2652.044	344.606	3985.587	418.230	4967.008	1309.616
16	0.040	0.005	5	891.768	591.472	1553.703	143.308	2638.480	337.782	4012.044	458.991	4935.955	1312.352
17	0.041	0.005	5	900.613	605.181	1555.050	142.685	2627.763	331.329	4037.709	499.947	4913.073	1310.288
18	0.042	0.005	5	907.701	620.749	1556.460	144.001	2620.164	327.250	4055.120	536.600	4894.193	1294.622
19	0.043	0.005	5	911.557	637.831	1557.799	147.280	2615.195	327.106	4056.346	566.388	4875.950	1252.194
20	0.044	0.005	5	911.008	655.956	1559.061	152.300	2612.129	331.591	4037.204	584.558	4860.113	1182.580
21	0.045	0.005	5	905.389	674.694	1560.448	158.886	2610.336	340.598	4000.834	582.987	4851.054	1104.348
22	0.046	0.005	5	894.681	693.812	1562.443	167.048	2609.456	353.734	3957.122	558.391	4850.054	1041.897
23	0.047	0.005	5	879.535	713.576	1565.849	176.971	2609.476	371.131	3916.637	517.977	4855.450	1010.941
24	0.048	0.005	5	861.083	734.930	1571.761	188.717	2610.629	394.047	3885.640	473.933	4865.759	1016.400
25	0.049	0.005	5	840.433	759.049	1581.316	201.517	2613.161	424.479	3865.651	436.094	4880.555	1054.316
26	0.050	0.005	5	818.079	786.417	1595.056	212.948	2617.017	463.410	3855.016	409.225	4899.202	1111.350
27	0.051	0.005	5	793.733	816.599	1612.002	219.237	2621.491	508.551	3850.512	393.789	4918.816	1165.793
28	0.052	0.005	5	766.912	848.917	1629.464	217.597	2624.956	553.646	3848.688	387.623	4934.037	1195.669
29	0.053	0.005	5	737.712	882.130	1644.410	208.431	2625.209	590.504	3846.827	387.279	4940.475	1189.569
30	0.054	0.005	5	707.113	912.619	1655.210	194.532	2620.686	612.211	3843.398	389.033	4938.223	1149.721
31	0.055	0.005	5	676.999	933.911	1661.973	178.723	2611.664	615.348	3838.105	389.839	4931.209	1086.980
32	0.056	0.005	5	649.913	939.337	1665.753	162.749	2600.201	600.850	3831.677	388.173	4924.138	1014.981
33	0.057	0.005	5	628.149	925.910	1667.737	147.497	2588.885	573.420	3825.424	384.393	4920.380	946.286
34	0.058	0.005	5	612.644	895.988	1668.840	133.458	2579.570	539.511	3820.686	380.312	4921.528	890.093
35	0.059	0.005	5	602.731	855.611	1669.618	120.952	2572.935	505.023	3818.413	378.217	4927.747	851.311
36	0.060	0.005	5	596.812	811.516	1670.342	110.183	2568.702	474.028	3818.948	379.893	4938.060	830.613
37	0.061	0.005	5	593.146	769.043	1671.113	101.254	2566.041	448.658	3821.947	386.018	4950.329	824.708
38	0.062	0.005	5	590.235	731.465	1671.964	94.183	2563.897	429.552	3826.366	395.918	4961.134	826.366
39	0.063	0.005	5	586.913	700.171	1672.917	88.927	2561.227	416.276	3830.575	407.646	4966.037	824.703
40	0.064	0.005	5	582.356	675.236	1674.006	85.409	2557.218	407.535	3832.830	418.452	4961.269	807.810
41	0.065	0.005	5	576.127	656.254	1675.301	83.560	2551.573	401.355	3832.288	425.765	4946.874	769.152
42	0.066	0.005	5	568.238	643.106	1676.934	83.372	2544.728	395.567	3829.966	428.647	4927.823	713.430
43	0.067	0.005	5	559.174	635.974	1679.128	84.903	2537.652	388.572	3828.395	428.938	4910.398	654.175
44	0.068	0.005	5	549.837	634.509	1682.192	88.202	2531.190	379.873	3830.036	430.651	4898.182	604.890
45	0.069	0.005	5	541.451	637.039	1686.502	93.163	2525.609	370.014	3836.147	437.841	4891.725	573.485
46	0.070	0.004	5	535.343	640.654	1692.447	99.382	2520.731	360.203	3846.914	452.973	4890.298	562.877
47	0.071	0.004	5	532.558	642.177	1700.294	106.095	2516.396	351.935	3862.046	476.469	4893.391	573.765
48	0.072	0.004	5	533.414	639.384	1709.972	112.287	2512.707	346.682	3881.037	506.598	4901.423	606.410
49	0.073	0.004	5	537.319	631.693	1720.871	117.043	2509.914	345.692	3902.836	539.179	4915.926	660.559
50	0.074	0.004	5	542.997	619.882	1731.865	119.972	2508.108	349.954	3925.007	567.798	4939.164	733.149
51	0.075	0.004	5	548.946	605.172	1741.626	121.399	2506.991	360.312	3943.079	586.005	4972.254	813.900
52	0.076	0.004	5	553.798	588.595	1749.050	122.172	2505.890	377.562	3951.756	591.186	5010.922	882.371
53	0.077	0.004	5	556.518	571.173	1753.570	123.270	2504.068	402.343	3948.259	585.693	5042.491	914.402
54	0.078	0.004	5	556.513	554.523	1755.229	125.490	2501.206	434.889	3934.573	573.459	5053.233	897.860
55	0.079	0.004	5	553.668	541.033	1754.597	129.328	2497.812	474.937	3916.246	557.680	5042.092	841.839
56	0.080	0.004	5	548.236	533.262	1752.599	134.971	2495.194	521.916	3899.270	541.939	5019.861	768.889
57	0.081	0.004	5	540.618	533.026	1750.303	142.315	2494.841	574.920	3887.463	530.856	4996.976	700.345
58	0.082	0.004	5	531.165	540.833	1748.676	150.971	2497.562	632.078	3881.795	528.560	4978.340	648.468
59	0.083	0.004	5	520.061	555.813	1748.329	160.264	2503.056	689.812	3881.365	537.082	4964.856	616.944
60	0.084	0.003	5	507.341	575.950	1749.313	169.238	2510.175	742.895	3884.650	555.958	4955.636	604.442
61	0.085	0.003	5	492.971	598.450	1751.067	176.738	2517.593	785.543	3890.322	582.625	4949.250	607.702
62	0.086	0.003	5	476.977	620.239	1752.629	181.632	2524.331	813.014	3897.621	612.988	4944.252	623.451
63	0.087	0.003	5	459.527	638.549	1753.072	183.083	2529.888	823.072	3906.523	642.069	4939.323	649.510
64	0.088	0.003	5	440.921	651.500	1751.943	180.749	2534.177	816.858	3917.783	664.926	4933.214	685.426
65	0.089	0.003	5	421.484	658.536	1749.434	174.856	2537.463	798.758	3932.705	677.802	4924.658	732.360
66	0.090	0.003	5	401.430	660.422	1746.213	166.180	2540.221	775.147	3952.289	678.875	4912.411	791.521
67	0.091	0.003	5	380.858	658.545	1743.056	155.874	2542.896	752.537	3975.852	668.271	4895.623	860.917
68	0.092	0.003	5	359.939	653.883	1740.532	145.160	2545.803	736.109	4000.182	647.970	4874.774	932.541
69	0.093	0.003	5	339.144	646.587	1738.907	135.048	2549.378	729.298	4020.572	621.688	4853.058	994.510
70	0.094	0.003	5	319.299	636.309	1738.220	126.213	2554.518	733.942	4033.215	593.164	4836.797	1038.940
71	0.095	0.003	5	301.545	622.412	1738.372	118.981	2562.460	749.935	4036.682	563.578	4832.988	1067.317
72	0.096	0.003	5	287.308	603.727	1739.154	113.405	2574.080	773.700	4031.895	530.781	4845.801	1087.618
73	0.097	0.003	5	278.006	578.722	1740.248	109.438	2589.002	795.895	4021.755	490.407	4876.109	1109.284
74	0.098	0.003	5	274.285	546.820	1741.248	107.179	2604.989	800.820	4010.747	438.166	4924.069	1141.586
75	0.099	0.003	5	275.313	510.393	1741.734	107.065	2618.406	772.559	4003.613	373.367	4992.422	1194.441
76	0.100	0.003	5	279.167	475.535	1741.356	109.842	2626.228	708.150	4003.049	301.395	5092.379	1280.179
77	0.101	0.003	5	284.292	449.769	1739.798	116.312	2627.811	623.328	4008.479	231.618	5276.174	1414.506
78	0.102	0.003	4	290.484	438.151	1736.631	126.912	2624.473	540.356	4017.263	172.149	--undefined--	--undefined--
79	0.103	0.003	4	298.758	441.086	1731.407	141.132	2618.077	473.508	4026.738	126.704	--undefined--	--undefined--
80	0.104	0.001	4	310.890	454.046	1724.139	157.169	2610.019	426.857	4035.376	95.101	--undefined--	--undefined--
81	0.105	0.001	4	328.879	468.282	1715.653	172.532	2600.811	399.498	4042.817	75.099	--undefined--	--undefined--
82	0.106	0.001	4	353.645	473.946	1707.327	185.560	2590.425	389.927	4049.319	63.898	--undefined--	--undefined--
83	0.107	0.001	4	383.503	465.766	1700.583	196.637	2579.067	397.621	4055.282	58.999	--undefined--	--undefined--
84	0.108	0.001	4	414.664	445.977	1696.600	208.084	2567.666	423.658	4061.071	58.528	--undefined--	--undefined--
85	0.109	0.0009	4	443.422	421.205	1696.335	223.164	2557.847	471.804	4067.017	61.278	--undefined--	--undefined--
86	0.110	0.0009	4	467.537	397.995	1700.816	245.068	2551.910	549.861	4073.434	66.705	--undefined--	--undefined--
87	0.111	0.0009	4	486.316	381.238	1711.689	275.880	2553.946	670.892	4080.578	74.910	--undefined--	--undefined--
88	0.112	0.0009	4	500.202	374.571	1731.450	314.212	2574.160	852.456	4088.614	86.539	--undefined--	--undefined--
89	0.113	0.0005	4	510.167	380.795	1761.283	351.438	2639.658	1096.746	4097.673	102.624	--undefined--	--undefined--
90	0.114	0.0003	4	516.906	401.790	1795.402	377.228	2782.866	1298.341	4107.986	124.447	--undefined--	--undefined--
91	0.115	0.0003	4	519.978	438.928	1824.312	398.022	2933.443	1304.297	4120.049	153.577	--undefined--	--undefined--
92	0.116	0.0003	4	517.771	494.846	1845.951	426.380	3014.353	1208.910	4134.962	192.078	--undefined--	--undefined--
93	0.117	0.0003	4	509.059	573.777	1862.234	458.017	3043.045	1101.405	4154.890	241.451	--undefined--	--undefined--
94	0.118	0.0003	4	494.582	675.036	1872.723	474.489	3046.759	993.125	4182.192	298.548	--undefined--	--undefined--
95	0.119	0.0001	4	472.946	776.517	1875.029	462.864	3038.798	885.559	4215.297	352.248	--undefined--	--undefined--
96	0.120	0.0001	4	424.874	828.770	1868.900	429.564	3023.795	793.918	4245.032	390.441	--undefined--	--undefined--
97	0.121	0.0001	4	344.470	749.833	1857.134	390.400	3005.341	733.471	4259.945	411.006	--undefined--	--undefined--
98	0.122	0.00006	4	307.110	587.264	1843.190	355.467	2986.407	705.202	4255.496	418.774	--undefined--	--undefined--
99	0.123	0.00004	4	296.704	468.808	1829.831	326.894	2968.226	698.752	4235.554	417.129	--undefined--	--undefined--
100	0.124	0.00004	4	292.357	390.228	1818.966	303.424	2951.245	701.784	4208.006	407.683	--undefined--	--undefined--
101	0.125	0.00004	4	289.650	337.798	1811.605	283.613	2935.766	706.624	4180.308	393.548	--undefined--	--undefined--
102	0.126	0.00004	4	287.291	301.645	1807.900	266.718	2921.507	711.817	4157.289	379.783	--undefined--	--undefined--
103	0.127	0.00004	4	284.561	274.595	1807.384	252.666	2907.380	719.776	4141.254	371.431	--undefined--	--undefined--
104	0.128	0.00004	4	280.927	251.421	1809.311	241.698	2891.993	733.173	4133.112	371.869	--undefined--	--undefined--
105	0.129	0.00003	4	276.122	228.762	1812.930	233.824	2874.276	752.128	4133.293	382.200	--undefined--	--undefined--
106	0.130	0.00003	4	270.250	205.162	1817.596	228.427	2853.899	773.219	4142.020	401.162	--undefined--	--undefined--
107	0.131	0.00001	4	263.725	180.703	1822.784	224.329	2831.546	790.963	4158.980	425.377	--undefined--	--undefined--
108	0.132	0.000004	4	257.076	156.274	1828.151	220.336	2809.002	801.542	4182.645	450.430	--undefined--	--undefined--
109	0.133	0.000004	4	250.784	132.941	1833.604	215.895	2788.834	806.317	4209.803	473.055	--undefined--	--undefined--
110	0.134	0.000004	4	245.206	111.664	1839.300	211.301	2773.832	811.811	4235.989	493.224	--undefined--	--undefined--
111	0.135	0.000004	4	240.560	93.182	1845.535	207.239	2766.786	825.675	4256.780	514.115	--undefined--	--undefined--
112	0.136	0.000004	4	236.912	77.893	1852.530	203.998	2770.593	851.374	4269.200	539.430	--undefined--	--undefined--
