frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.0007	4	1631.123	323.680	3315.094	182.966	3988.118	129.016	4853.580	516.189	--undefined--	--undefined--
2	0.026	0.0007	4	1613.608	285.303	3316.021	207.707	3990.898	147.625	4910.235	512.082	--undefined--	--undefined--
3	0.027	0.0007	5	1602.660	251.204	3312.547	247.786	3995.201	169.977	4667.007	3211.758	4968.312	490.222
4	0.028	0.0007	5	1598.087	226.332	3300.600	300.117	4000.785	197.029	4174.679	2153.141	5014.539	453.707
5	0.029	0.0007	5	1598.062	214.023	3277.540	353.801	4006.883	228.359	4041.536	1578.443	5048.134	427.316
6	0.030	0.0007	5	1600.724	215.624	3247.897	393.462	4001.856	1254.817	4012.308	260.387	5074.723	422.571
7	0.031	0.0007	5	1604.909	231.453	3221.936	415.375	4001.620	1107.120	4014.538	286.258	5098.405	444.352
8	0.032	0.0007	5	1610.323	261.021	3205.806	426.053	4010.128	299.736	4031.204	1095.069	5122.468	498.477
9	0.033	0.0007	5	1617.462	302.265	3199.498	429.948	3998.746	300.006	4101.701	1187.581	5152.450	597.602
10	0.034	0.0007	5	1627.108	350.621	3199.540	429.448	3984.027	292.614	4239.528	1331.795	5208.457	778.739
11	0.035	0.0007	4	1639.333	399.446	3201.966	429.269	3969.665	285.398	4473.303	1340.940	--undefined--	--undefined--
12	0.036	0.0007	4	1652.707	442.696	3204.720	436.304	3958.311	284.534	4600.470	1051.426	--undefined--	--undefined--
13	0.037	0.0007	4	1664.724	477.973	3207.819	456.841	3952.263	294.619	4615.025	919.197	--undefined--	--undefined--
14	0.038	0.0007	4	1673.107	506.463	3212.187	495.606	3953.804	319.939	4607.794	920.914	--undefined--	--undefined--
15	0.039	0.0007	4	1676.438	529.595	3218.681	556.820	3966.191	365.754	4574.747	1059.991	--undefined--	--undefined--
16	0.040	0.0007	4	1673.760	545.756	3227.490	646.933	3999.022	438.134	4400.840	1416.457	--undefined--	--undefined--
17	0.041	0.0007	5	1664.526	549.541	3236.159	782.033	3950.117	1409.820	4081.822	485.956	5421.972	861.921
18	0.042	0.0007	5	1649.778	534.618	3216.572	1000.121	3661.280	1117.257	4146.284	407.313	5277.666	643.419
19	0.043	0.0007	5	1633.055	499.341	3113.027	1133.869	3602.529	861.846	4172.095	345.004	5244.353	529.365
20	0.044	0.0007	5	1618.761	449.670	3041.521	1105.530	3599.880	777.807	4184.749	314.473	5231.544	469.155
21	0.045	0.0007	5	1609.485	395.405	3017.560	1028.233	3612.050	771.180	4190.915	311.525	5227.247	446.902
22	0.046	0.0007	5	1605.375	344.572	3023.377	930.326	3643.542	808.104	4192.221	334.964	5228.069	455.951
23	0.047	0.0007	5	1605.308	301.335	3041.683	822.637	3703.409	861.956	4188.052	386.850	5233.635	493.200
24	0.048	0.0007	5	1608.028	266.810	3061.673	719.924	3798.102	896.920	4174.699	474.633	5245.647	557.375
25	0.049	0.0007	5	1612.586	240.488	3080.715	633.526	3940.090	855.645	4134.363	632.687	5268.175	647.686
26	0.050	0.0007	5	1618.342	221.215	3099.068	566.393	3991.376	544.615	4194.490	1042.470	5307.979	759.595
27	0.051	0.0007	5	1624.855	207.659	3116.455	517.444	3985.085	450.441	4303.919	1219.361	5367.084	871.174
28	0.052	0.0007	5	1631.793	198.430	3131.541	485.188	3992.762	402.751	4360.485	1361.942	5381.174	920.881
29	0.053	0.0007	5	1638.869	192.040	3142.011	469.048	4008.095	377.118	4327.819	1515.244	5290.827	840.893
30	0.054	0.0007	5	1645.841	186.934	3144.632	469.467	4028.192	366.182	4194.535	1595.652	5213.093	682.009
31	0.055	0.0007	5	1652.551	181.705	3135.265	486.636	4023.996	1514.612	4051.368	367.594	5167.625	537.333
32	0.056	0.0007	5	1658.944	175.531	3108.965	516.083	3880.590	1305.065	4077.744	379.554	5136.939	429.379
33	0.057	0.0007	5	1664.955	168.559	3063.222	541.024	3787.841	1056.246	4108.121	395.376	5112.235	353.301
34	0.058	0.0007	5	1670.295	161.836	3006.258	540.318	3738.827	847.778	4139.686	406.339	5091.358	302.099
35	0.059	0.0007	5	1674.321	156.754	2951.865	515.044	3716.387	703.998	4167.773	412.648	5074.726	270.778
36	0.060	0.0007	5	1676.063	154.448	2905.842	480.643	3709.343	613.311	4190.349	419.300	5063.135	256.176
37	0.061	0.0007	5	1674.394	155.376	2867.404	448.017	3713.695	561.247	4206.523	429.207	5056.773	256.100
38	0.062	0.0007	5	1668.434	159.077	2834.344	421.092	3729.333	537.757	4214.543	443.055	5054.952	268.640
39	0.063	0.0007	5	1658.149	164.189	2805.353	399.954	3758.335	535.356	4211.485	461.220	5056.144	291.798
40	0.064	0.0007	5	1644.803	169.049	2780.543	384.007	3803.756	546.545	4193.568	485.054	5058.116	323.198
41	0.065	0.0007	5	1630.655	172.785	2761.119	374.096	3868.949	563.339	4154.650	515.237	5058.196	359.141
42	0.066	0.0007	5	1617.931	175.903	2748.676	372.710	3975.423	598.380	4065.407	529.393	5053.833	392.443
43	0.067	0.0007	5	1607.836	179.671	2744.114	382.417	4003.956	827.000	4032.921	341.093	5043.649	411.996
44	0.068	0.0007	5	1600.280	185.059	2746.401	404.215	3962.962	923.099	4039.750	264.588	5028.910	409.015
45	0.069	0.0008	5	1594.305	192.335	2752.187	437.245	3893.374	957.978	4047.316	216.427	5013.554	385.111
46	0.070	0.0008	5	1588.766	201.347	2756.702	479.370	3810.548	941.032	4053.592	180.537	5001.811	350.234
47	0.071	0.0009	5	1582.810	211.806	2755.308	527.028	3731.144	881.656	4057.976	152.409	4996.091	314.103
48	0.072	0.0009	5	1576.066	223.334	2745.223	574.298	3666.220	796.440	4060.784	130.709	4996.541	282.040
49	0.073	0.0009	5	1568.714	235.443	2727.389	613.701	3619.381	705.650	4062.614	114.857	5001.463	256.049
