frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.0003	5	375.844	166.642	757.754	457.932	2859.910	407.557	3644.210	551.468	4176.022	495.342
2	0.026	0.0003	5	375.769	171.766	758.066	463.995	2859.676	401.457	3632.912	511.231	4193.532	488.896
3	0.027	0.0003	5	375.812	177.557	759.601	474.316	2862.791	403.041	3628.061	488.005	4210.545	502.043
4	0.028	0.0003	5	375.848	182.913	764.039	486.930	2868.743	412.228	3628.424	480.037	4228.272	533.717
5	0.029	0.0003	5	375.699	186.666	773.137	498.789	2877.333	428.781	3633.473	486.896	4246.463	582.261
6	0.030	0.0003	5	375.267	188.264	787.652	506.363	2888.609	452.209	3642.978	509.483	4263.107	644.156
7	0.031	0.0003	5	374.706	188.339	806.287	507.282	2902.912	481.595	3657.157	550.435	4274.260	714.238
8	0.032	0.0003	5	374.365	188.514	825.875	501.587	2920.867	515.230	3677.137	614.502	4274.304	786.881
9	0.033	0.0003	5	374.543	190.607	842.802	491.179	2943.016	549.988	3705.622	708.928	4256.334	855.620
10	0.034	0.0003	5	375.305	195.929	854.385	477.892	2968.896	581.207	3747.685	845.778	4212.235	906.643
11	0.035	0.0003	5	376.408	204.925	859.425	461.779	2995.899	604.911	3805.284	1059.477	4138.267	891.471
12	0.036	0.0003	5	377.290	216.975	858.203	440.704	3019.672	622.630	3816.231	1355.389	4094.853	767.617
13	0.037	0.0003	5	377.127	230.214	852.384	411.645	3036.843	643.017	3766.713	1526.904	4093.640	686.959
14	0.038	0.0003	5	375.138	241.624	844.662	373.306	3046.226	676.901	3696.128	1534.273	4097.629	649.003
15	0.039	0.0003	5	371.106	247.903	837.744	328.013	3046.164	732.704	3620.992	1403.858	4102.065	629.981
16	0.040	0.0003	5	365.627	247.004	833.159	280.638	3030.095	811.219	3560.419	1189.959	4106.610	614.613
17	0.041	0.0003	5	359.684	239.073	831.021	235.739	2990.060	886.183	3531.214	965.100	4110.858	595.597
