frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.005	5	972.814	350.198	1416.573	113.892	2854.103	471.332	4164.676	227.543	4981.393	3308.955
2	0.026	0.005	5	971.618	347.160	1416.823	116.941	2839.543	466.422	4176.184	229.801	5161.232	3518.617
3	0.027	0.005	4	972.087	347.473	1416.517	120.752	2826.564	448.094	4186.845	231.834	--undefined--	--undefined--
4	0.028	0.005	4	973.694	349.468	1415.512	124.969	2818.535	422.925	4196.846	238.163	--undefined--	--undefined--
5	0.029	0.005	4	975.612	351.387	1413.657	129.276	2816.975	399.138	4206.227	253.464	--undefined--	--undefined--
6	0.030	0.005	4	977.032	352.119	1410.874	133.491	2821.618	381.501	4213.798	280.741	--undefined--	--undefined--
7	0.031	0.005	4	977.666	351.447	1407.312	137.622	2830.599	369.945	4217.114	319.269	--undefined--	--undefined--
8	0.032	0.005	4	977.990	349.888	1403.434	141.929	2841.074	361.201	4213.412	362.800	--undefined--	--undefined--
9	0.033	0.005	4	979.049	348.422	1399.964	146.976	2850.553	351.689	4201.575	399.905	--undefined--	--undefined--
10	0.034	0.005	4	981.909	348.019	1397.699	153.442	2858.041	340.023	4184.280	419.010	--undefined--	--undefined--
11	0.035	0.005	4	987.105	349.026	1397.258	161.681	2863.932	327.550	4167.515	416.094	--undefined--	--undefined--
12	0.036	0.005	4	994.309	350.979	1398.826	171.325	2869.055	317.003	4156.815	396.419	--undefined--	--undefined--
13	0.037	0.005	4	1002.368	353.057	1401.999	181.242	2874.012	311.101	4154.604	368.407	--undefined--	--undefined--
14	0.038	0.005	4	1009.697	354.770	1405.843	189.974	2879.136	312.143	4160.362	338.106	--undefined--	--undefined--
15	0.039	0.005	4	1014.860	356.222	1409.208	196.401	2884.684	322.178	4171.569	308.345	--undefined--	--undefined--
16	0.040	0.005	4	1016.954	357.813	1411.158	200.161	2890.976	343.235	4184.690	280.507	--undefined--	--undefined--
17	0.041	0.005	4	1015.688	359.813	1411.256	201.606	2898.423	377.228	4196.422	256.101	--undefined--	--undefined--
18	0.042	0.005	4	1011.318	362.144	1409.631	201.539	2907.401	424.654	4204.746	236.786	--undefined--	--undefined--
19	0.043	0.005	4	1004.548	364.345	1406.874	200.886	2917.763	480.898	4209.084	223.465	--undefined--	--undefined--
20	0.044	0.005	4	996.283	365.641	1403.796	200.343	2927.868	531.389	4209.735	215.746	--undefined--	--undefined--
21	0.045	0.005	4	987.336	365.253	1401.137	200.241	2934.296	554.258	4207.250	212.424	--undefined--	--undefined--
22	0.046	0.005	5	978.515	363.136	1399.402	200.981	2934.617	537.738	4202.287	212.585	4759.451	4356.595
23	0.047	0.005	5	970.765	360.369	1398.845	203.420	2930.456	492.082	4195.708	215.819	4702.666	4091.293
24	0.048	0.005	5	964.881	358.557	1399.477	208.595	2925.485	436.947	4188.439	221.288	4825.511	3978.867
25	0.049	0.005	5	961.368	359.028	1401.199	217.511	2922.171	386.007	4181.295	227.172	5240.124	4009.873
26	0.050	0.005	4	960.726	362.492	1404.133	231.418	2921.314	344.808	4175.105	231.098	--undefined--	--undefined--
27	0.051	0.005	4	963.692	368.762	1408.980	252.074	2922.764	314.421	4170.874	231.118	--undefined--	--undefined--
28	0.052	0.005	4	971.067	376.139	1417.322	281.473	2925.936	294.122	4169.628	226.600	--undefined--	--undefined--
29	0.053	0.005	4	982.957	380.862	1431.824	320.560	2930.009	282.308	4171.921	218.347	--undefined--	--undefined--
30	0.054	0.005	4	997.562	378.114	1455.897	366.120	2933.992	276.558	4177.497	207.955	--undefined--	--undefined--
31	0.055	0.005	4	1010.959	366.022	1491.374	407.271	2936.835	273.619	4185.441	197.112	--undefined--	--undefined--
32	0.056	0.005	4	1019.692	348.463	1534.556	429.456	2937.787	269.689	4194.639	187.249	--undefined--	--undefined--
33	0.057	0.005	4	1023.201	331.010	1577.309	426.911	2936.924	261.285	4204.162	179.492	--undefined--	--undefined--
