frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.0007	5	353.062	108.222	1536.894	61.632	3245.441	447.328	3793.624	219.668	4369.557	339.078
2	0.026	0.0007	5	350.963	111.417	1539.457	55.842	3233.946	444.337	3805.269	211.420	4363.188	334.538
3	0.027	0.0007	5	348.842	114.445	1540.703	50.936	3226.451	430.348	3813.645	210.256	4356.155	329.951
4	0.028	0.0007	5	346.701	117.628	1540.950	46.815	3228.569	405.169	3817.073	219.159	4348.112	327.630
5	0.029	0.0007	5	344.533	121.460	1540.429	43.495	3241.935	372.696	3814.283	238.560	4340.113	327.636
6	0.030	0.0007	5	342.322	126.185	1539.264	40.951	3262.767	338.133	3805.304	263.957	4335.354	327.874
7	0.031	0.0007	5	340.046	131.579	1537.543	39.057	3285.119	305.386	3792.178	286.496	4337.769	326.515
8	0.032	0.0007	5	337.702	137.107	1535.372	37.660	3304.673	276.527	3778.559	298.105	4349.159	322.633
9	0.033	0.0007	5	335.318	142.185	1532.893	36.668	3319.956	252.298	3768.007	296.868	4367.530	314.950
10	0.034	0.0007	5	332.976	146.352	1530.249	36.083	3331.579	232.653	3762.602	286.927	4388.045	302.753
11	0.035	0.0007	5	330.860	149.233	1527.559	35.976	3340.882	217.300	3762.774	274.150	4405.762	287.704
12	0.036	0.0009	5	329.279	150.384	1524.902	36.433	3348.902	206.162	3767.707	262.721	4417.790	273.112
13	0.037	0.0009	5	328.648	149.243	1522.306	37.516	3356.047	199.459	3775.948	254.640	4423.414	261.943
14	0.038	0.0009	5	329.369	145.383	1519.763	39.266	3362.266	197.596	3786.069	250.668	4423.007	255.958
15	0.039	0.0009	5	331.681	138.863	1517.229	41.734	3367.275	201.150	3797.074	251.140	4417.096	255.945
16	0.040	0.002	5	335.561	130.368	1514.627	45.011	3370.636	210.944	3808.485	256.241	4405.975	262.069
17	0.041	0.002	5	340.759	120.999	1511.857	49.262	3371.654	228.094	3820.223	265.838	4389.785	273.852
18	0.042	0.002	5	346.905	111.858	1508.820	54.731	3369.150	253.783	3832.438	278.943	4368.993	289.788
19	0.043	0.002	5	353.616	103.697	1505.461	61.711	3361.151	288.419	3845.404	292.892	4345.257	307.131
20	0.044	0.002	5	360.551	96.787	1501.835	70.448	3344.970	329.778	3859.530	302.983	4322.232	322.919
21	0.045	0.002	5	367.435	91.010	1498.178	81.014	3318.693	371.004	3875.162	304.380	4304.983	336.448
22	0.046	0.002	5	374.069	86.111	1494.963	93.238	3284.264	402.350	3891.634	296.452	4297.272	350.057
23	0.047	0.002	5	380.336	81.946	1492.917	106.804	3248.470	418.151	3906.579	284.527	4299.070	366.192
24	0.048	0.002	5	386.190	78.535	1492.897	121.439	3219.097	420.720	3917.237	275.954	4307.089	385.201
25	0.049	0.002	5	391.625	75.922	1495.608	137.003	3200.549	416.367	3922.028	275.177	4317.534	406.077
26	0.050	0.002	5	396.639	74.048	1501.343	153.433	3192.976	410.226	3920.590	282.182	4328.306	427.208
27	0.051	0.002	5	401.221	72.746	1509.964	170.702	3193.755	404.790	3913.408	293.392	4339.208	446.554
28	0.052	0.002	5	405.349	71.809	1521.111	188.841	3199.187	400.834	3901.989	303.332	4350.685	462.213
29	0.053	0.002	5	409.001	71.066	1534.482	207.956	3205.745	398.452	3889.162	306.986	4362.369	472.909
30	0.054	0.002	5	412.170	70.406	1549.991	228.109	3210.842	397.495	3878.484	302.129	4372.636	477.774
