frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.005	5	904.107	209.000	1516.880	95.323	2741.818	614.161	3989.790	387.263	4312.023	298.180
2	0.026	0.005	5	906.616	207.625	1523.000	86.539	2742.779	621.742	3984.869	375.727	4308.917	280.857
3	0.027	0.005	5	909.009	206.938	1527.211	79.549	2740.477	631.645	3980.263	362.292	4306.796	264.772
4	0.028	0.005	5	910.965	206.857	1529.802	74.234	2734.400	641.890	3976.929	347.909	4305.401	251.571
5	0.029	0.005	5	912.080	207.099	1531.070	70.337	2724.865	649.641	3975.664	334.489	4304.478	242.523
6	0.030	0.005	5	911.963	207.207	1531.292	67.594	2712.965	652.366	3976.968	324.489	4303.734	238.682
7	0.031	0.005	5	910.399	206.689	1530.720	65.829	2700.213	649.432	3981.096	320.554	4302.709	241.084
8	0.032	0.005	5	907.513	205.212	1529.590	65.023	2688.063	643.067	3988.334	325.441	4300.610	250.922
9	0.033	0.005	5	903.861	202.755	1528.120	65.329	2677.576	637.890	3999.467	342.342	4295.992	269.633
10	0.034	0.005	5	900.338	199.667	1526.527	67.029	2669.512	639.378	4016.678	375.825	4286.025	298.635
11	0.035	0.005	5	897.939	196.600	1525.060	70.461	2664.818	652.316	4045.938	435.060	4264.213	336.934
12	0.036	0.005	5	897.472	194.313	1524.060	75.905	2665.305	679.676	4102.504	564.671	4215.078	351.097
13	0.037	0.005	5	899.355	193.374	1523.995	83.419	2674.206	721.353	4136.741	838.859	4188.778	281.480
14	0.038	0.005	5	903.519	193.842	1525.395	92.626	2695.885	771.791	4149.476	1157.939	4186.875	244.332
15	0.039	0.005	5	909.370	195.126	1528.612	102.545	2733.166	817.193	4167.910	1543.044	4188.721	230.717
16	0.040	0.005	5	915.830	196.308	1533.517	111.795	2781.928	839.140	4191.144	233.133	4207.766	1992.273
17	0.041	0.005	5	921.647	196.844	1539.467	119.219	2830.525	830.450	4192.796	246.512	4282.352	2458.730
18	0.042	0.005	5	925.913	196.985	1545.708	124.399	2870.101	800.824	4193.089	265.168	4389.079	2870.914
19	0.043	0.005	5	928.275	197.513	1551.772	127.606	2899.682	761.466	4192.308	283.997	4510.294	3185.856
20	0.044	0.005	5	928.735	199.251	1557.531	129.442	2921.659	718.660	4191.367	300.592	4626.387	3404.596
21	0.045	0.005	5	927.400	202.801	1563.049	130.529	2938.671	676.633	4191.230	314.975	4721.242	3550.957
22	0.046	0.005	5	924.379	208.461	1568.459	131.319	2953.014	638.490	4192.570	327.448	4784.961	3655.946
23	0.047	0.005	5	919.810	216.177	1573.886	132.028	2966.533	605.719	4195.755	336.884	4818.933	3753.560
24	0.048	0.005	5	913.913	225.484	1579.418	132.656	2980.534	578.147	4200.866	340.506	4837.656	3879.054
25	0.049	0.005	5	907.034	235.482	1585.091	133.065	2995.700	554.562	4207.656	335.247	4865.298	4065.983
26	0.050	0.005	5	899.648	244.956	1590.879	133.090	3012.080	533.658	4215.587	320.028	4936.714	4343.171
27	0.051	0.005	5	892.286	252.718	1596.701	132.638	3029.247	514.731	4224.044	297.032	5141.977	4738.387
28	0.052	0.005	4	885.434	258.097	1602.444	131.754	3046.532	497.659	4232.549	270.660	--undefined--	--undefined--
29	0.053	0.005	4	879.412	261.271	1608.002	130.600	3063.179	482.431	4240.827	245.324	--undefined--	--undefined--
30	0.054	0.005	4	874.288	263.150	1613.292	129.378	3078.375	468.821	4248.769	224.005	--undefined--	--undefined--
31	0.055	0.005	4	869.845	264.882	1618.238	128.252	3091.271	456.374	4256.396	208.082	--undefined--	--undefined--
32	0.056	0.005	4	865.662	267.338	1622.762	127.307	3101.110	444.542	4263.838	197.831	--undefined--	--undefined--
33	0.057	0.005	4	861.269	270.826	1626.786	126.573	3107.440	432.818	4271.344	192.981	--undefined--	--undefined--
34	0.058	0.005	4	856.324	275.072	1630.259	126.051	3110.326	420.903	4279.297	193.037	--undefined--	--undefined--
35	0.059	0.005	4	850.767	279.385	1633.185	125.754	3110.420	408.846	4288.196	197.338	--undefined--	--undefined--
36	0.060	0.005	4	844.863	282.945	1635.625	125.727	3108.815	397.059	4298.498	204.876	--undefined--	--undefined--
