frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.004	5	878.000	498.981	1503.789	127.186	2957.547	598.468	3640.351	1510.532	4650.474	711.312
2	0.026	0.004	5	865.774	477.907	1494.548	131.990	2968.503	502.179	3643.035	1611.203	4636.180	666.236
3	0.027	0.004	5	857.459	458.710	1483.861	136.674	2972.562	415.883	3642.155	1699.311	4621.645	608.306
4	0.028	0.004	5	850.677	444.078	1473.229	140.504	2971.752	347.789	3634.992	1752.167	4607.973	543.996
5	0.029	0.004	5	844.268	433.671	1463.809	143.308	2968.577	297.976	3626.891	1771.805	4594.556	483.923
6	0.030	0.004	5	837.818	425.683	1456.104	144.851	2964.726	262.972	3624.545	1775.749	4580.358	435.237
7	0.031	0.004	5	831.235	417.841	1450.142	144.457	2961.178	238.917	3631.303	1784.999	4564.598	399.844
8	0.032	0.004	5	824.631	408.376	1445.773	141.288	2958.493	222.906	3647.538	1819.037	4546.547	376.292
9	0.033	0.004	5	818.373	397.022	1442.830	135.106	2956.993	213.229	3672.726	1897.939	4525.299	361.698
10	0.034	0.004	5	813.113	385.519	1441.159	126.860	2956.852	209.069	3707.466	2048.241	4499.894	352.479
11	0.035	0.004	5	809.716	377.180	1440.593	118.448	2958.057	210.011	3756.333	2311.127	4469.951	344.428
12	0.036	0.004	5	809.154	375.663	1440.979	111.823	2960.242	215.560	3836.509	2757.818	4436.647	333.730
13	0.037	0.004	5	812.449	383.541	1442.192	108.218	2962.486	224.947	4019.491	3546.065	4402.860	319.659
14	0.038	0.004	5	820.561	401.003	1444.123	107.902	2963.496	237.221	4371.597	305.579	5191.951	5345.323
15	0.039	0.004	4	833.928	424.938	1446.608	110.396	2962.595	251.256	4344.847	295.428	--undefined--	--undefined--
16	0.040	0.004	4	851.582	449.401	1449.391	114.944	2961.028	265.781	4324.358	290.467	--undefined--	--undefined--
17	0.041	0.004	4	870.928	468.662	1452.273	121.024	2961.917	279.885	4311.884	290.059	--undefined--	--undefined--
18	0.042	0.004	4	889.439	480.369	1455.398	128.465	2968.263	293.131	4307.760	293.137	--undefined--	--undefined--
19	0.043	0.004	4	906.342	484.742	1459.323	137.156	2981.106	304.864	4310.350	298.077	--undefined--	--undefined--
20	0.044	0.004	4	922.089	482.085	1464.794	146.765	2999.397	313.902	4317.261	303.137	--undefined--	--undefined--
21	0.045	0.004	4	936.927	472.157	1472.458	156.631	3020.768	319.248	4326.649	307.575	--undefined--	--undefined--
22	0.046	0.004	4	950.291	455.131	1482.637	165.818	3042.378	321.191	4337.729	312.120	--undefined--	--undefined--
23	0.047	0.004	4	961.204	432.599	1495.258	173.367	3061.739	321.743	4350.706	318.630	--undefined--	--undefined--
24	0.048	0.004	4	969.051	407.464	1509.931	178.560	3077.254	323.967	4366.435	329.339	--undefined--	--undefined--
25	0.049	0.004	4	973.905	382.898	1526.083	180.981	3088.159	330.710	4385.932	345.996	--undefined--	--undefined--
26	0.050	0.004	4	976.252	361.563	1542.968	180.451	3094.025	343.377	4409.665	369.006	--undefined--	--undefined--
27	0.051	0.004	4	976.620	345.438	1559.584	177.118	3094.360	360.739	4436.557	396.655	--undefined--	--undefined--
28	0.052	0.004	4	975.421	335.728	1574.792	171.584	3089.024	377.923	4462.910	425.085	--undefined--	--undefined--
29	0.053	0.004	4	973.001	332.652	1587.676	164.788	3079.631	387.559	4482.219	450.141	--undefined--	--undefined--
30	0.054	0.004	4	969.688	335.596	1597.863	157.758	3070.156	385.131	4487.230	469.858	--undefined--	--undefined--
31	0.055	0.004	4	965.806	343.389	1605.531	151.372	3064.367	373.350	4473.819	483.304	--undefined--	--undefined--
32	0.056	0.004	4	961.786	354.150	1611.192	146.083	3062.879	358.714	4444.040	487.744	--undefined--	--undefined--
33	0.057	0.004	4	958.197	365.600	1615.472	142.006	3063.890	346.135	4405.741	481.124	--undefined--	--undefined--
34	0.058	0.004	4	955.399	376.114	1618.900	139.292	3065.283	338.064	4368.184	466.224	--undefined--	--undefined--
35	0.059	0.004	4	953.183	385.317	1621.777	138.207	3065.287	335.649	4337.550	449.219	--undefined--	--undefined--
36	0.060	0.004	4	950.813	393.875	1624.156	138.914	3062.219	339.189	4315.906	435.421	--undefined--	--undefined--
37	0.061	0.004	4	947.365	402.880	1625.896	141.223	3054.426	347.791	4302.599	427.151	--undefined--	--undefined--
38	0.062	0.003	4	942.106	413.178	1626.756	144.443	3040.791	358.957	4295.868	424.002	--undefined--	--undefined--
39	0.063	0.003	4	934.745	424.936	1626.551	147.421	3021.605	368.853	4293.842	424.184	--undefined--	--undefined--
40	0.064	0.003	4	925.498	437.814	1625.316	148.909	2999.181	373.859	4294.916	426.138	--undefined--	--undefined--
41	0.065	0.003	4	914.842	451.630	1623.341	148.156	2977.461	372.728	4297.721	429.712	--undefined--	--undefined--
42	0.066	0.003	4	903.039	466.787	1621.006	145.266	2960.675	367.354	4301.003	436.246	--undefined--	--undefined--
43	0.067	0.003	4	889.862	483.820	1618.594	140.975	2952.094	361.117	4303.655	447.693	--undefined--	--undefined--
44	0.068	0.003	4	874.907	502.394	1616.251	136.100	2953.553	356.204	4304.895	465.386	--undefined--	--undefined--
45	0.069	0.003	4	858.351	520.724	1614.047	131.157	2965.337	351.812	4304.459	488.902	--undefined--	--undefined--
46	0.070	0.003	4	841.320	536.191	1611.997	126.382	2985.895	344.359	4302.718	515.499	--undefined--	--undefined--
47	0.071	0.003	4	825.226	546.588	1609.974	121.948	3011.709	330.005	4300.551	540.947	--undefined--	--undefined--
48	0.072	0.003	4	810.694	550.675	1607.674	118.069	3038.150	307.878	4298.920	561.807	--undefined--	--undefined--
49	0.073	0.003	4	797.388	548.075	1604.735	114.897	3061.235	280.862	4298.430	577.229	--undefined--	--undefined--
