frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.004	5	475.284	25.691	2126.735	147.888	2784.187	369.651	3773.962	417.344	4480.801	882.056
2	0.026	0.004	5	473.660	25.689	2127.800	146.820	2789.036	351.563	3766.550	405.676	4506.826	850.622
3	0.027	0.004	5	471.852	26.066	2130.881	148.352	2793.661	342.437	3764.789	394.624	4525.088	838.282
4	0.028	0.004	5	469.903	26.830	2135.444	152.210	2798.839	342.737	3765.818	383.958	4537.319	841.092
5	0.029	0.004	5	467.856	27.989	2141.037	157.537	2805.101	353.108	3767.010	373.356	4544.344	853.730
6	0.030	0.004	5	465.754	29.530	2147.313	162.719	2812.730	374.079	3766.911	363.072	4545.861	870.402
7	0.031	0.004	5	463.621	31.403	2153.969	165.646	2821.594	405.575	3765.456	353.900	4540.784	885.005
8	0.032	0.004	5	461.463	33.523	2160.694	164.627	2830.826	446.315	3763.351	346.640	4528.106	890.608
9	0.033	0.004	5	459.256	35.800	2167.157	159.452	2838.421	493.095	3761.238	341.341	4508.184	879.600
10	0.034	0.004	5	456.950	38.165	2173.048	151.547	2841.264	539.989	3759.377	336.695	4483.968	846.388
11	0.035	0.004	5	454.470	40.609	2178.106	143.029	2836.355	578.321	3758.068	330.330	4460.703	792.106
12	0.036	0.004	5	451.735	43.211	2182.113	135.554	2823.131	599.162	3758.126	320.572	4443.191	726.362
13	0.037	0.004	5	448.672	46.139	2184.889	129.801	2804.564	598.418	3760.426	308.216	4432.910	661.969
14	0.038	0.004	5	445.231	49.620	2186.330	125.670	2785.171	579.571	3765.000	295.876	4428.085	607.687
15	0.039	0.004	5	441.397	53.854	2186.441	122.768	2768.155	550.555	3770.967	285.881	4425.689	565.940
16	0.040	0.004	5	437.213	58.900	2185.320	120.788	2754.552	518.735	3777.112	279.203	4422.987	534.787
17	0.041	0.004	5	432.809	64.566	2183.118	119.608	2744.147	488.531	3782.333	275.684	4418.181	510.517
18	0.042	0.004	5	428.442	70.372	2180.042	119.223	2736.626	461.818	3785.770	274.660	4410.648	489.494
19	0.043	0.004	5	424.484	75.624	2176.382	119.673	2732.134	439.242	3786.831	275.476	4400.973	469.330
20	0.044	0.004	5	421.354	79.650	2172.544	121.038	2731.223	421.207	3785.299	277.761	4390.741	449.502
21	0.045	0.004	5	419.367	82.084	2169.039	123.477	2734.398	408.187	3781.427	281.490	4381.973	431.172
22	0.046	0.004	5	418.595	83.013	2166.432	127.227	2741.633	400.515	3775.848	286.900	4376.342	416.124
23	0.047	0.004	5	418.847	82.858	2165.242	132.540	2752.147	398.073	3769.284	294.253	4374.596	405.516
24	0.048	0.004	5	419.766	82.130	2165.855	139.560	2764.572	400.167	3762.304	303.489	4376.505	399.321
25	0.049	0.004	5	420.967	81.233	2168.419	148.213	2777.344	405.584	3755.322	313.916	4381.236	396.627
26	0.050	0.004	5	422.132	80.398	2172.736	158.127	2789.072	412.667	3748.743	324.103	4387.806	396.183
27	0.051	0.004	5	423.037	79.708	2178.190	168.644	2798.706	419.383	3743.037	332.101	4395.347	396.720
28	0.052	0.004	5	423.544	79.158	2183.777	178.900	2805.552	423.518	3738.657	336.021	4403.182	397.021
29	0.053	0.004	5	423.579	78.736	2188.309	187.991	2809.247	423.103	3735.891	334.802	4410.810	396.004
30	0.054	0.004	5	423.126	78.465	2190.740	195.128	2809.778	416.966	3734.812	328.755	4417.897	392.993
31	0.055	0.004	5	422.213	78.413	2190.488	199.758	2807.493	405.144	3735.371	319.529	4424.306	388.086
32	0.056	0.004	5	420.898	78.676	2187.587	201.645	2803.047	388.905	3737.577	309.540	4430.139	382.322
33	0.057	0.004	5	419.258	79.340	2182.611	200.894	2797.314	370.371	3741.617	301.236	4435.707	377.481
34	0.058	0.004	5	417.374	80.454	2176.407	197.890	2791.296	351.950	3747.870	296.543	4441.358	375.589
35	0.059	0.004	5	415.330	81.991	2169.798	193.138	2786.025	335.839	3756.809	296.554	4447.231	378.403
36	0.060	0.004	5	413.210	83.837	2163.389	187.097	2782.431	323.721	3768.837	301.358	4453.089	387.097
37	0.061	0.004	5	411.102	85.785	2157.508	180.090	2781.243	316.656	3784.074	309.938	4458.465	402.208
38	0.062	0.004	5	409.093	87.592	2152.252	172.314	2782.950	315.077	3802.164	320.218	4463.092	423.785
39	0.063	0.004	5	407.261	89.039	2147.572	163.896	2787.805	318.745	3822.189	329.443	4467.435	451.591
40	0.064	0.004	5	405.665	89.999	2143.354	154.978	2795.789	326.587	3842.830	334.897	4472.961	485.244
41	0.065	0.003	5	404.338	90.444	2139.474	145.797	2806.437	336.519	3862.668	334.669	4481.890	523.994
42	0.066	0.003	5	403.278	90.410	2135.846	136.738	2818.601	345.692	3880.416	328.149	4496.360	565.854
43	0.067	0.003	5	402.447	89.957	2132.480	128.298	2830.499	351.526	3895.060	316.217	4517.203	606.685
44	0.068	0.003	5	401.776	89.157	2129.510	120.959	2840.324	353.041	3906.096	300.910	4543.078	640.805
45	0.069	0.003	5	401.170	88.098	2127.147	115.073	2847.070	351.322	3913.652	284.467	4570.862	663.331
46	0.070	0.003	5	400.520	86.895	2125.588	110.839	2850.887	348.742	3918.226	268.474	4597.210	672.086
47	0.071	0.003	5	399.724	85.695	2124.926	108.330	2852.856	347.867	3920.290	253.768	4620.001	667.722
48	0.072	0.003	5	398.714	84.681	2125.113	107.508	2854.580	350.848	3920.126	240.853	4638.756	653.024
49	0.073	0.003	5	397.476	84.055	2125.952	108.175	2857.882	359.298	3917.944	230.321	4654.181	632.351
50	0.074	0.003	5	396.060	83.986	2127.077	109.889	2864.510	374.239	3914.062	222.963	4667.368	610.912
51	0.075	0.003	5	394.547	84.537	2127.950	111.917	2875.774	395.859	3908.983	219.590	4679.155	593.609
52	0.076	0.003	5	393.019	85.637	2127.960	113.351	2892.147	423.190	3903.370	220.750	4689.883	583.980
53	0.077	0.003	5	391.527	87.117	2126.658	113.455	2912.949	454.111	3897.958	226.572	4699.506	583.875
54	0.078	0.003	5	390.100	88.811	2124.045	112.072	2936.230	485.868	3893.433	236.761	4707.818	593.805
55	0.079	0.003	5	388.758	90.647	2120.630	109.788	2958.966	515.895	3890.288	250.637	4714.632	613.379
56	0.080	0.003	5	387.549	92.665	2117.171	107.687	2977.613	542.374	3888.704	267.135	4719.853	641.459
57	0.081	0.003	5	386.554	94.942	2114.288	106.908	2989.018	564.298	3888.510	284.821	4723.462	676.134
58	0.082	0.003	5	385.869	97.493	2112.229	108.309	2991.369	581.219	3889.271	302.053	4725.422	714.884
59	0.083	0.003	5	385.556	100.226	2110.871	112.374	2984.785	593.068	3890.470	317.210	4725.522	755.111
60	0.084	0.003	5	385.590	102.999	2109.884	119.275	2971.164	600.277	3891.733	328.824	4723.251	794.737
61	0.085	0.003	5	385.840	105.725	2108.916	128.978	2953.398	604.023	3892.958	335.660	4717.782	832.322
62	0.086	0.003	5	386.104	108.417	2107.733	141.324	2934.382	606.315	3894.204	337.041	4708.117	866.296
63	0.087	0.003	5	386.175	111.149	2106.252	156.053	2916.269	609.777	3895.332	333.352	4693.420	893.533
64	0.088	0.003	5	385.897	113.973	2104.482	172.781	2900.129	617.197	3895.662	326.095	4673.612	908.567
65	0.089	0.003	5	385.194	116.866	2102.412	190.922	2886.012	630.922	3894.048	317.083	4650.161	905.151
66	0.090	0.003	5	384.057	119.765	2099.922	209.591	2873.376	652.369	3889.379	307.256	4626.430	880.122
67	0.091	0.003	5	382.525	122.669	2096.760	227.582	2861.687	681.888	3881.194	296.163	4606.714	836.631
68	0.092	0.003	5	380.661	125.727	2092.548	243.453	2850.975	719.038	3870.019	282.730	4594.266	783.551
69	0.093	0.003	5	378.530	129.242	2086.774	255.746	2842.185	762.961	3857.141	266.737	4590.010	731.437
70	0.094	0.003	5	376.190	133.591	2078.747	263.247	2837.307	812.444	3843.900	249.544	4592.903	688.721
71	0.095	0.003	5	373.692	139.090	2067.672	265.240	2839.367	865.572	3831.186	233.515	4601.051	660.624
72	0.096	0.003	5	371.077	145.841	2052.888	261.676	2852.211	919.256	3819.477	221.055	4612.456	650.090
73	0.097	0.002	5	368.399	153.620	2034.210	253.216	2879.943	968.822	3809.203	214.131	4625.205	659.095
74	0.098	0.002	5	365.730	161.826	2012.062	241.077	2925.888	1007.328	3801.077	214.254	4637.569	689.395
75	0.099	0.002	5	363.173	169.491	1987.307	226.728	2990.908	1024.416	3796.248	222.524	4648.448	742.320
76	0.100	0.002	5	360.855	175.405	1960.934	211.544	3070.833	1006.375	3796.307	239.211	4658.328	817.078
77	0.101	0.002	5	358.905	178.393	1933.892	196.553	3153.963	941.765	3803.133	262.303	4670.253	906.987
78	0.102	0.002	5	357.422	177.757	1907.101	182.418	3222.956	834.874	3817.921	285.090	4688.976	994.679
79	0.103	0.002	5	356.443	173.664	1881.479	169.618	3265.713	712.977	3838.420	297.043	4716.449	1053.882
80	0.104	0.002	5	355.934	167.132	1857.816	158.612	3284.776	605.971	3858.401	293.520	4748.429	1065.526
81	0.105	0.002	5	355.810	159.588	1836.601	149.806	3290.198	524.334	3873.239	280.147	4778.582	1031.524
82	0.106	0.001	5	355.982	152.282	1817.940	143.395	3290.057	464.681	3882.524	264.420	4803.378	968.883
83	0.107	0.001	5	356.391	145.934	1801.664	139.277	3289.280	420.700	3887.716	250.750	4822.158	896.767
84	0.108	0.001	5	357.014	140.702	1787.537	137.126	3290.798	387.060	3890.279	240.952	4835.477	829.231
85	0.109	0.001	5	357.866	136.362	1775.413	136.566	3295.931	359.915	3891.217	235.316	4844.127	773.727
86	0.110	0.001	5	358.975	132.552	1765.291	137.341	3304.331	336.769	3891.145	233.103	4848.859	732.314
87	0.111	0.0008	5	360.365	128.995	1757.283	139.417	3314.197	316.405	3890.381	232.798	4850.359	703.562
88	0.112	0.0008	5	362.046	125.597	1751.558	142.989	3322.998	298.749	3888.946	232.480	4849.279	684.311
89	0.113	0.0008	5	364.001	122.420	1748.298	148.380	3328.382	284.381	3886.631	230.325	4846.333	671.008
90	0.114	0.0008	5	366.175	119.532	1747.640	155.846	3328.872	273.727	3883.272	225.104	4842.430	660.663
91	0.115	0.0008	5	368.467	116.873	1749.581	165.349	3324.204	266.402	3879.133	216.485	4838.784	651.557
92	0.116	0.0008	5	370.727	114.233	1753.870	176.421	3315.415	261.166	3875.022	205.127	4836.796	643.618
93	0.117	0.0008	5	372.786	111.361	1759.929	188.242	3304.639	256.563	3872.001	192.466	4837.650	638.234
94	0.118	0.0008	5	374.488	108.102	1766.867	199.926	3294.497	251.707	3870.895	180.176	4841.853	637.520
