frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.003	5	980.095	241.129	1638.139	113.487	2892.814	238.451	4076.881	2215.209	4506.322	459.856
2	0.026	0.003	5	969.982	267.153	1631.954	111.682	2896.116	253.106	4139.513	2357.720	4477.422	486.779
3	0.027	0.003	5	957.248	301.640	1626.725	111.012	2897.931	276.239	4251.588	2554.294	4434.765	521.731
4	0.028	0.003	5	942.744	344.923	1623.399	111.828	2897.095	308.420	4376.467	552.231	4455.285	2848.122
5	0.029	0.003	5	927.941	395.806	1622.787	114.492	2892.384	347.781	4309.626	562.617	4891.916	3303.443
6	0.030	0.003	4	914.397	450.559	1625.367	119.088	2883.854	387.947	4248.370	554.157	--undefined--	--undefined--
7	0.031	0.003	4	903.148	503.018	1631.244	125.229	2874.935	418.946	4202.567	543.378	--undefined--	--undefined--
8	0.032	0.003	4	894.423	546.717	1640.174	132.236	2871.936	433.799	4175.689	546.291	--undefined--	--undefined--
9	0.033	0.003	4	887.554	577.323	1651.472	139.550	2879.388	433.901	4167.783	572.420	--undefined--	--undefined--
10	0.034	0.003	4	881.607	593.886	1663.992	147.198	2897.296	425.553	4178.212	623.418	--undefined--	--undefined--
11	0.035	0.003	4	877.035	599.544	1676.466	156.164	2922.898	413.800	4206.587	691.641	--undefined--	--undefined--
12	0.036	0.003	4	876.403	600.745	1687.924	168.112	2952.414	400.955	4250.083	758.543	--undefined--	--undefined--
13	0.037	0.003	4	882.752	603.820	1697.858	183.903	2981.540	389.264	4298.869	801.168	--undefined--	--undefined--
14	0.038	0.003	4	896.779	610.699	1706.145	201.224	3006.615	382.712	4337.836	808.861	--undefined--	--undefined--
15	0.039	0.003	4	915.203	618.218	1712.842	213.672	3026.038	384.878	4356.215	786.891	--undefined--	--undefined--
16	0.040	0.003	4	932.584	622.805	1718.067	214.787	3040.258	396.328	4352.716	742.819	--undefined--	--undefined--
17	0.041	0.003	4	945.383	624.243	1722.024	203.941	3050.689	414.826	4333.149	680.898	--undefined--	--undefined--
18	0.042	0.003	4	952.903	624.165	1724.898	186.007	3058.740	436.895	4306.197	606.416	--undefined--	--undefined--
19	0.043	0.003	4	954.849	624.034	1726.712	166.556	3065.411	458.996	4279.697	527.702	--undefined--	--undefined--
20	0.044	0.003	4	949.605	624.893	1727.390	149.179	3071.162	478.246	4258.472	453.488	--undefined--	--undefined--
21	0.045	0.003	4	934.471	626.633	1726.880	135.464	3075.781	492.750	4243.984	389.693	--undefined--	--undefined--
22	0.046	0.003	4	907.276	625.558	1725.248	125.661	3078.371	501.464	4235.157	338.403	--undefined--	--undefined--
23	0.047	0.003	4	869.159	613.323	1722.718	119.230	3077.815	503.956	4229.715	299.029	--undefined--	--undefined--
24	0.048	0.002	4	826.340	583.336	1719.667	115.344	3073.737	500.608	4225.584	269.975	--undefined--	--undefined--
25	0.049	0.002	4	786.255	539.196	1716.558	113.300	3067.160	493.018	4221.748	249.490	--undefined--	--undefined--
26	0.050	0.002	4	752.194	490.560	1713.857	112.657	3060.084	483.845	4218.212	235.976	--undefined--	--undefined--
27	0.051	0.002	4	723.792	444.524	1711.991	113.130	3054.487	476.080	4215.580	228.295	--undefined--	--undefined--
28	0.052	0.002	4	699.787	403.893	1711.312	114.470	3051.600	472.365	4214.796	226.009	--undefined--	--undefined--
29	0.053	0.002	4	679.403	369.067	1711.994	116.443	3051.562	474.483	4217.036	229.307	--undefined--	--undefined--
30	0.054	0.002	4	662.600	339.857	1713.896	118.930	3053.285	482.835	4223.542	238.413	--undefined--	--undefined--
31	0.055	0.002	5	649.837	316.469	1716.467	122.073	3054.696	496.005	4235.260	252.480	4553.536	3138.756
32	0.056	0.002	5	641.619	299.583	1718.843	126.303	3053.721	510.991	4252.234	268.445	4261.591	2566.109
33	0.057	0.002	5	638.036	289.778	1720.133	132.120	3049.626	524.338	4109.127	2182.197	4272.895	281.301
34	0.058	0.002	5	638.564	286.985	1719.737	139.731	3043.493	533.317	4015.961	1938.916	4294.013	287.046
35	0.059	0.002	5	642.216	290.463	1717.548	148.858	3037.451	535.725	3955.037	1805.897	4312.317	285.706
36	0.060	0.002	5	647.914	299.158	1713.993	158.883	3033.707	528.684	3914.251	1762.480	4326.266	280.249
37	0.061	0.002	5	654.832	311.991	1709.929	169.206	3033.785	508.360	3888.109	1798.710	4336.002	273.745
38	0.062	0.002	5	662.548	327.923	1706.449	179.577	3037.676	471.865	3875.497	1912.695	4342.487	268.339
39	0.063	0.002	5	670.992	345.869	1704.660	190.160	3043.541	420.675	3878.310	2104.443	4346.971	265.490
40	0.064	0.002	5	680.240	364.638	1705.500	201.269	3049.042	361.824	3899.564	2372.629	4350.734	266.258
41	0.065	0.002	5	690.283	383.065	1709.632	212.875	3053.069	304.116	3943.076	2720.237	4354.864	271.270
42	0.066	0.002	5	700.891	400.428	1717.356	224.165	3055.845	253.411	4018.595	3168.596	4360.088	280.527
43	0.067	0.002	5	711.671	416.997	1728.494	233.488	3058.007	211.550	4161.079	3784.592	4366.727	293.381
44	0.068	0.002	5	722.325	434.349	1742.276	238.884	3059.996	177.905	4374.775	308.836	4551.610	4778.298
45	0.069	0.002	4	732.979	455.239	1757.379	238.998	3061.943	151.085	4384.066	326.041	--undefined--	--undefined--
46	0.070	0.002	4	744.488	483.117	1772.252	233.814	3063.799	129.856	4394.491	344.681	--undefined--	--undefined--
47	0.071	0.002	4	758.688	521.438	1785.553	224.637	3065.491	113.396	4406.159	365.049	--undefined--	--undefined--
48	0.072	0.002	4	778.659	572.454	1796.430	213.471	3067.015	101.259	4419.397	387.759	--undefined--	--undefined--
49	0.073	0.002	4	808.596	634.230	1804.528	202.375	3068.479	93.298	4434.459	413.160	--undefined--	--undefined--
50	0.074	0.002	4	851.035	695.973	1809.870	193.169	3070.104	89.637	4450.875	440.509	--undefined--	--undefined--
51	0.075	0.002	4	900.248	743.762	1812.739	187.306	3072.182	90.647	4466.677	467.209	--undefined--	--undefined--
52	0.076	0.002	4	944.702	781.284	1813.558	185.659	3074.967	96.805	4478.682	488.814	--undefined--	--undefined--
53	0.077	0.002	4	978.365	826.460	1812.754	188.250	3078.491	108.222	4485.073	500.242	--undefined--	--undefined--
54	0.078	0.002	4	1000.609	894.154	1810.689	194.040	3082.351	123.806	4487.866	497.946	--undefined--	--undefined--
55	0.079	0.002	4	1011.544	991.703	1807.768	200.845	3085.654	140.685	4491.061	481.698	--undefined--	--undefined--
56	0.080	0.002	4	1009.977	1118.763	1804.734	205.802	3087.368	154.906	4496.816	454.033	--undefined--	--undefined--
57	0.081	0.002	4	993.197	1267.128	1802.735	206.693	3086.929	163.299	4504.715	418.609	--undefined--	--undefined--
58	0.082	0.002	4	957.257	1423.473	1802.786	203.131	3084.470	164.884	4513.420	379.296	--undefined--	--undefined--
59	0.083	0.002	4	895.450	1577.506	1805.034	196.349	3080.460	160.784	4521.911	339.726	--undefined--	--undefined--
60	0.084	0.002	4	789.410	1730.359	1808.660	188.126	3075.294	153.258	4529.690	302.961	--undefined--	--undefined--
61	0.085	0.002	4	556.922	1856.660	1812.421	180.018	3069.191	144.704	4536.511	271.335	--undefined--	--undefined--
62	0.086	0.002	4	377.348	1278.560	1815.341	173.029	3062.334	136.963	4542.122	246.363	--undefined--	--undefined--
63	0.087	0.002	5	394.223	1031.790	1374.052	6906.518	1817.198	167.484	3054.999	130.953	4546.180	228.556
64	0.088	0.002	5	401.310	899.278	1818.626	163.229	2120.524	5387.756	3047.581	126.570	4548.304	217.053
65	0.089	0.002	5	405.160	830.097	1820.720	160.039	2274.952	5305.752	3040.619	122.908	4548.200	209.551
66	0.090	0.002	5	409.601	811.113	1824.328	157.658	2161.214	6716.575	3034.809	118.889	4545.881	203.261
67	0.091	0.002	4	418.354	838.933	1829.452	155.458	3030.822	114.060	4541.847	196.455	--undefined--	--undefined--
68	0.092	0.002	4	439.071	918.652	1835.138	152.537	3028.963	108.802	4537.009	188.943	--undefined--	--undefined--
