frame	time(s)	intensity	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
1	0.025	0.0003	5	359.274	61.318	1678.380	410.079	3127.342	697.186	4130.287	295.627	4553.109	155.022
2	0.026	0.0003	5	357.217	62.043	1688.155	398.050	3170.504	773.818	4122.678	316.590	4553.054	165.974
3	0.027	0.0006	5	355.441	63.559	1700.959	393.136	3207.374	855.182	4110.202	339.808	4553.081	176.262
4	0.028	0.0006	5	353.715	66.022	1716.301	390.950	3232.549	934.345	4092.436	360.287	4553.322	184.767
5	0.029	0.0006	5	351.789	69.381	1732.052	386.421	3243.035	1001.196	4070.722	372.721	4554.172	191.606
6	0.030	0.0006	5	349.485	73.404	1745.069	375.876	3239.346	1043.862	4047.890	374.246	4555.828	198.004
7	0.031	0.0006	5	346.750	77.785	1752.913	358.579	3225.420	1053.916	4027.046	365.885	4557.980	205.756
8	0.032	0.0006	5	343.672	82.260	1755.104	336.222	3207.430	1030.809	4010.601	351.721	4559.860	216.810
9	0.033	0.0006	5	340.420	86.740	1752.995	311.463	3191.611	981.240	4000.015	336.788	4560.641	232.850
10	0.034	0.0006	5	337.153	91.410	1748.790	286.881	3181.835	914.830	3995.801	324.696	4560.168	254.468
11	0.035	0.0006	5	333.937	96.702	1744.569	264.431	3178.441	840.372	3997.438	316.005	4559.736	280.035
12	0.036	0.0006	5	330.728	103.138	1741.766	245.132	3179.302	765.206	4003.255	308.579	4562.048	305.173
13	0.037	0.0006	5	327.441	111.098	1741.033	229.035	3182.267	696.137	4010.788	300.240	4569.392	323.928
14	0.038	0.0006	5	324.120	120.471	1742.261	215.467	3186.879	639.008	4018.038	291.395	4581.143	331.998
15	0.039	0.0006	5	321.164	130.193	1744.687	203.400	3194.226	597.197	4024.566	284.636	4593.703	329.867
16	0.040	0.0006	5	319.467	137.949	1747.163	191.827	3205.721	571.139	4031.104	282.521	4603.132	322.117
